1 5 23 27 -> ~38 fr=342 (0.4949), cf=0.814, gamma=1.253, delta=0.100, M=-6.649e+001
1 5 23 27 -> 37 fr=342 (0.4949), cf=0.814, gamma=1.253, delta=0.100, M=-6.649e+001
5 23 27 -> ~38 fr=370 (0.5355), cf=0.792, gamma=1.219, delta=0.096, M=-6.587e+001
5 23 27 -> 37 fr=370 (0.5355), cf=0.792, gamma=1.219, delta=0.096, M=-6.587e+001
5 23 -> ~38 fr=389 (0.5630), cf=0.773, gamma=1.190, delta=0.090, M=-6.289e+001
5 23 -> 37 fr=389 (0.5630), cf=0.773, gamma=1.190, delta=0.090, M=-6.289e+001
1 5 19 27 -> ~38 fr=345 (0.4993), cf=0.804, gamma=1.238, delta=0.096, M=-6.172e+001
1 5 19 27 -> 37 fr=345 (0.4993), cf=0.804, gamma=1.238, delta=0.096, M=-6.172e+001
1 5 27 -> ~38 fr=347 (0.5022), cf=0.801, gamma=1.233, delta=0.095, M=-6.089e+001
1 5 27 -> 37 fr=347 (0.5022), cf=0.801, gamma=1.233, delta=0.095, M=-6.089e+001
5 27 -> ~38 fr=376 (0.5441), cf=0.778, gamma=1.198, delta=0.090, M=-5.962e+001
5 27 -> 37 fr=376 (0.5441), cf=0.778, gamma=1.198, delta=0.090, M=-5.962e+001
1 5 9 19 -> ~38 fr=357 (0.5166), cf=0.792, gamma=1.218, delta=0.093, M=-5.926e+001
1 5 9 19 -> 37 fr=357 (0.5166), cf=0.792, gamma=1.218, delta=0.093, M=-5.926e+001
1 5 19 -> ~38 fr=364 (0.5268), cf=0.786, gamma=1.210, delta=0.091, M=-5.900e+001
1 5 19 -> 37 fr=364 (0.5268), cf=0.786, gamma=1.210, delta=0.091, M=-5.900e+001
1 5 9 -> ~38 fr=359 (0.5195), cf=0.789, gamma=1.214, delta=0.092, M=-5.855e+001
1 5 9 -> 37 fr=359 (0.5195), cf=0.789, gamma=1.214, delta=0.092, M=-5.855e+001
1 5 -> ~38 fr=366 (0.5297), cf=0.784, gamma=1.206, delta=0.091, M=-5.834e+001
1 5 -> 37 fr=366 (0.5297), cf=0.784, gamma=1.206, delta=0.091, M=-5.834e+001
5 -> ~38 fr=397 (0.5745), cf=0.761, gamma=1.170, delta=0.084, M=-5.814e+001
8 -> 38 fr=91 (0.1317), cf=0.752, gamma=2.147, delta=0.070, M=-5.236e+001
1 19 23 27 32 -> ~38 fr=340 (0.4920), cf=0.734, gamma=1.130, delta=0.057, M=-2.391e+001
1 19 23 27 32 -> 37 fr=340 (0.4920), cf=0.734, gamma=1.130, delta=0.057, M=-2.391e+001
1 23 27 32 -> ~38 fr=348 (0.5036), cf=0.728, gamma=1.120, delta=0.054, M=-2.265e+001
1 23 27 32 -> 37 fr=348 (0.5036), cf=0.728, gamma=1.120, delta=0.054, M=-2.265e+001
1 19 23 27 -> ~38 fr=374 (0.5412), cf=0.716, gamma=1.103, delta=0.050, M=-2.239e+001
1 19 23 27 -> 37 fr=374 (0.5412), cf=0.716, gamma=1.103, delta=0.050, M=-2.239e+001
1 23 27 -> ~38 fr=382 (0.5528), cf=0.707, gamma=1.089, delta=0.045, M=-1.954e+001
1 23 27 -> 37 fr=382 (0.5528), cf=0.707, gamma=1.089, delta=0.045, M=-1.954e+001
1 14 19 27 32 -> ~38 fr=315 (0.4559), cf=0.733, gamma=1.127, delta=0.052, M=-1.919e+001
1 14 19 27 32 -> 37 fr=315 (0.4559), cf=0.733, gamma=1.127, delta=0.052, M=-1.919e+001
1 9 19 23 32 -> ~38 fr=352 (0.5094), cf=0.718, gamma=1.106, delta=0.049, M=-1.919e+001
1 9 19 23 32 -> 37 fr=352 (0.5094), cf=0.718, gamma=1.106, delta=0.049, M=-1.919e+001
1 9 19 27 32 -> ~38 fr=339 (0.4906), cf=0.723, gamma=1.112, delta=0.050, M=-1.898e+001
1 9 19 27 32 -> 37 fr=339 (0.4906), cf=0.723, gamma=1.112, delta=0.050, M=-1.898e+001
1 19 23 32 -> ~38 fr=359 (0.5195), cf=0.715, gamma=1.101, delta=0.047, M=-1.895e+001
