1 5 23 27 -> ~38 fr=344 (0.4978), cf=0.813, gamma=1.252, delta=0.100, M=-6.676e+001
1 5 23 27 -> 37 fr=344 (0.4978), cf=0.813, gamma=1.252, delta=0.100, M=-6.676e+001
1 5 23 -> ~38 fr=362 (0.5239), cf=0.797, gamma=1.227, delta=0.097, M=-6.523e+001
1 5 23 -> 37 fr=362 (0.5239), cf=0.797, gamma=1.227, delta=0.097, M=-6.523e+001
5 23 -> ~38 fr=392 (0.5673), cf=0.773, gamma=1.190, delta=0.091, M=-6.448e+001
5 23 -> 37 fr=392 (0.5673), cf=0.773, gamma=1.190, delta=0.091, M=-6.448e+001
1 5 9 19 27 -> ~38 fr=341 (0.4935), cf=0.810, gamma=1.247, delta=0.098, M=-6.345e+001
1 5 9 19 27 -> 37 fr=341 (0.4935), cf=0.810, gamma=1.247, delta=0.098, M=-6.345e+001
1 5 19 -> ~38 fr=368 (0.5326), cf=0.790, gamma=1.215, delta=0.094, M=-6.315e+001
1 5 19 -> 37 fr=368 (0.5326), cf=0.790, gamma=1.215, delta=0.094, M=-6.315e+001
1 5 9 27 -> ~38 fr=343 (0.4964), cf=0.807, gamma=1.242, delta=0.097, M=-6.257e+001
1 5 9 27 -> 37 fr=343 (0.4964), cf=0.807, gamma=1.242, delta=0.097, M=-6.257e+001
1 5 -> ~38 fr=370 (0.5355), cf=0.787, gamma=1.212, delta=0.093, M=-6.251e+001
1 5 -> 37 fr=370 (0.5355), cf=0.787, gamma=1.212, delta=0.093, M=-6.251e+001
5 -> ~38 fr=401 (0.5803), cf=0.761, gamma=1.171, delta=0.085, M=-6.077e+001
8 -> 38 fr=93 (0.1346), cf=0.782, gamma=2.232, delta=0.074, M=-5.907e+001
1 9 19 23 27 32 -> ~38 fr=333 (0.4819), cf=0.740, gamma=1.139, delta=0.059, M=-2.501e+001
1 9 19 23 27 32 -> 37 fr=333 (0.4819), cf=0.740, gamma=1.139, delta=0.059, M=-2.501e+001
1 19 23 27 32 -> ~38 fr=339 (0.4906), cf=0.737, gamma=1.134, delta=0.058, M=-2.485e+001
1 19 23 27 32 -> 37 fr=339 (0.4906), cf=0.737, gamma=1.134, delta=0.058, M=-2.485e+001
1 9 23 27 32 -> ~38 fr=340 (0.4920), cf=0.736, gamma=1.133, delta=0.058, M=-2.459e+001
1 9 23 27 32 -> 37 fr=340 (0.4920), cf=0.736, gamma=1.133, delta=0.058, M=-2.459e+001
1 23 27 32 -> ~38 fr=346 (0.5007), cf=0.733, gamma=1.128, delta=0.057, M=-2.449e+001
1 23 27 32 -> 37 fr=346 (0.5007), cf=0.733, gamma=1.128, delta=0.057, M=-2.449e+001
1 19 23 32 -> ~38 fr=360 (0.5210), cf=0.723, gamma=1.113, delta=0.053, M=-2.261e+001
1 19 23 32 -> 37 fr=360 (0.5210), cf=0.723, gamma=1.113, delta=0.053, M=-2.261e+001
1 23 32 -> ~38 fr=368 (0.5326), cf=0.719, gamma=1.106, delta=0.051, M=-2.225e+001
