1 5 23 27 -> ~38 fr=351 (0.5080), cf=0.834, gamma=1.252, delta=0.102, M=-7.114e+001
1 5 23 27 -> 37 fr=351 (0.5080), cf=0.834, gamma=1.252, delta=0.102, M=-7.114e+001
1 5 23 -> ~38 fr=370 (0.5355), cf=0.817, gamma=1.227, delta=0.099, M=-6.910e+001
1 5 23 -> 37 fr=370 (0.5355), cf=0.817, gamma=1.227, delta=0.099, M=-6.910e+001
5 23 27 -> ~38 fr=379 (0.5485), cf=0.808, gamma=1.214, delta=0.097, M=-6.767e+001
5 23 27 -> 37 fr=379 (0.5485), cf=0.808, gamma=1.214, delta=0.097, M=-6.767e+001
5 23 -> ~38 fr=400 (0.5789), cf=0.792, gamma=1.190, delta=0.092, M=-6.752e+001
5 23 -> 37 fr=400 (0.5789), cf=0.792, gamma=1.190, delta=0.092, M=-6.752e+001
1 5 9 27 -> ~38 fr=349 (0.5051), cf=0.829, gamma=1.245, delta=0.099, M=-6.721e+001
1 5 9 27 -> 37 fr=349 (0.5051), cf=0.829, gamma=1.245, delta=0.099, M=-6.721e+001
1 5 9 -> ~38 fr=369 (0.5340), cf=0.815, gamma=1.224, delta=0.098, M=-6.713e+001
1 5 9 -> 37 fr=369 (0.5340), cf=0.815, gamma=1.224, delta=0.098, M=-6.713e+001
1 5 -> ~38 fr=378 (0.5470), cf=0.806, gamma=1.211, delta=0.095, M=-6.570e+001
1 5 -> 37 fr=378 (0.5470), cf=0.806, gamma=1.211, delta=0.095, M=-6.570e+001
5 -> ~38 fr=409 (0.5919), cf=0.782, gamma=1.175, delta=0.088, M=-6.524e+001
8 -> 38 fr=90 (0.1302), cf=0.763, gamma=2.282, delta=0.073, M=-5.808e+001
1 9 19 23 27 32 -> ~38 fr=339 (0.4906), cf=0.755, gamma=1.134, delta=0.058, M=-2.485e+001
1 9 19 23 27 32 -> 37 fr=339 (0.4906), cf=0.755, gamma=1.134, delta=0.058, M=-2.485e+001
1 19 23 27 32 -> ~38 fr=345 (0.4993), cf=0.752, gamma=1.129, delta=0.057, M=-2.448e+001
1 19 23 27 32 -> 37 fr=345 (0.4993), cf=0.752, gamma=1.129, delta=0.057, M=-2.448e+001
1 9 19 23 27 -> ~38 fr=374 (0.5412), cf=0.738, gamma=1.108, delta=0.053, M=-2.362e+001
1 9 19 23 27 -> 37 fr=374 (0.5412), cf=0.738, gamma=1.108, delta=0.053, M=-2.362e+001
1 19 23 27 -> ~38 fr=382 (0.5528), cf=0.733, gamma=1.101, delta=0.051, M=-2.306e+001
1 19 23 27 -> 37 fr=382 (0.5528), cf=0.733, gamma=1.101, delta=0.051, M=-2.306e+001
1 9 23 27 32 -> ~38 fr=346 (0.5007), cf=0.747, gamma=1.123, delta=0.055, M=-2.279e+001
1 9 23 27 32 -> 37 fr=346 (0.5007), cf=0.747, gamma=1.123, delta=0.055, M=-2.279e+001
1 23 27 32 -> ~38 fr=352 (0.5094), cf=0.744, gamma=1.118, delta=0.054, M=-2.248e+001
1 23 27 32 -> 37 fr=352 (0.5094), cf=0.744, gamma=1.118, delta=0.054, M=-2.248e+001
1 14 19 23 32 -> ~38 fr=337 (0.4877), cf=0.747, gamma=1.122, delta=0.053, M=-2.128e+001
1 14 19 23 32 -> 37 fr=337 (0.4877), cf=0.747, gamma=1.122, delta=0.053, M=-2.128e+001
1 9 19 23 32 -> ~38 fr=359 (0.5195), cf=0.739, gamma=1.110, delta=0.051, M=-2.128e+001
1 9 19 23 32 -> 37 fr=359 (0.5195), cf=0.739, gamma=1.110, delta=0.051, M=-2.128e+001
1 19 23 32 -> ~38 fr=367 (0.5311), cf=0.735, gamma=1.105, delta=0.050, M=-2.124e+001
1 19 23 32 -> 37 fr=367 (0.5311), cf=0.735, gamma=1.105, delta=0.050, M=-2.124e+001
1 9 14 19 27 32 -> ~38 fr=315 (0.4559), cf=0.754, gamma=1.132, delta=0.053, M=-2.044e+001
