1 15 -> 31 fr=494 (0.3955), cf=0.943, gamma=1.117, delta=0.041, M=-3.951e+001
1 -> 31 fr=520 (0.4163), cf=0.939, gamma=1.112, delta=0.042, M=-3.932e+001
15 27 -> 31 fr=927 (0.7422), cf=0.881, gamma=1.044, delta=0.031, M=-3.169e+001
11 -> 31 fr=341 (0.2730), cf=0.945, gamma=1.119, delta=0.029, M=-2.507e+001
6 -> 31 fr=388 (0.3106), cf=0.917, gamma=1.087, delta=0.025, M=-1.638e+001
20 23 -> 31 fr=669 (0.5356), cf=0.887, gamma=1.051, delta=0.026, M=-1.548e+001
1 15 -> ~32 fr=497 (0.3979), cf=0.948, gamma=1.056, delta=0.021, M=-1.540e+001
1 -> ~32 fr=524 (0.4195), cf=0.946, gamma=1.053, delta=0.021, M=-1.509e+001
23 -> 31 fr=681 (0.5452), cf=0.886, gamma=1.049, delta=0.026, M=-1.503e+001
15 27 -> ~32 fr=964 (0.7718), cf=0.916, gamma=1.020, delta=0.015, M=-1.209e+001
1 15 -> ~33 fr=521 (0.4171), cf=0.994, gamma=1.024, delta=0.010, M=-1.180e+001
15 -> ~32 fr=972 (0.7782), cf=0.915, gamma=1.019, delta=0.014, M=-1.142e+001
11 -> ~32 fr=344 (0.2754), cf=0.953, gamma=1.061, delta=0.016, M=-1.129e+001
1 -> ~33 fr=550 (0.4404), cf=0.993, gamma=1.022, delta=0.010, M=-1.110e+001
1 -> ~34 fr=554 (0.4436), cf=1.000, gamma=1.015, delta=0.006, M=-1.065e+001
15 27 -> ~33 fr=1032 (0.8263), cf=0.981, gamma=1.010, delta=0.008, M=-1.035e+001
27 -> ~32 fr=1100 (0.8807), cf=0.905, gamma=1.008, delta=0.007, M=-9.768e+000
15 -> ~33 fr=1041 (0.8335), cf=0.980, gamma=1.009, delta=0.008, M=-9.480e+000
6 12 23 -> ~33 fr=264 (0.2114), cf=1.000, gamma=1.030, delta=0.006, M=-8.687e+000
25 -> 31 fr=125 (0.1001), cf=0.940, gamma=1.114, delta=0.010, M=-7.935e+000
26 -> ~31 fr=187 (0.1497), cf=0.168, gamma=1.073, delta=0.010, M=-7.935e+000
23 -> ~35 fr=769 (0.6157), cf=1.000, gamma=1.006, delta=0.004, M=-7.687e+000
6 12 -> ~33 fr=298 (0.2386), cf=0.997, gamma=1.026, delta=0.006, M=-7.467e+000
6 -> ~33 fr=419 (0.3355), cf=0.991, gamma=1.020, delta=0.007, M=-6.452e+000
11 -> ~34 fr=361 (0.2890), cf=1.000, gamma=1.015, delta=0.004, M=-6.191e+000
11 -> ~33 fr=358 (0.2866), cf=0.992, gamma=1.021, delta=0.006, M=-5.993e+000
2 12 -> 31 fr=201 (0.1609), cf=0.905, gamma=1.073, delta=0.011, M=-5.972e+000
7 20 -> 31 fr=392 (0.3139), cf=0.881, gamma=1.044, delta=0.013, M=-5.481e+000
6 29 -> ~32 fr=359 (0.2874), cf=0.932, gamma=1.038, delta=0.011, M=-5.476e+000
23 -> ~33 fr=755 (0.6045), cf=0.982, gamma=1.011, delta=0.007, M=-5.441e+000
20 23 29 -> ~32 fr=593 (0.4748), cf=0.921, gamma=1.025, delta=0.012, M=-5.436e+000
7 -> 31 fr=407 (0.3259), cf=0.879, gamma=1.042, delta=0.013, M=-5.311e+000
6 -> ~32 fr=393 (0.3147), cf=0.929, gamma=1.034, delta=0.010, M=-5.166e+000
6 -> ~34 fr=422 (0.3379), cf=0.998, gamma=1.012, delta=0.004, M=-5.164e+000
20 23 -> ~32 fr=691 (0.5532), cf=0.916, gamma=1.020, delta=0.011, M=-5.081e+000
2 20 -> 31 fr=222 (0.1777), cf=0.895, gamma=1.061, delta=0.010, M=-4.982e+000
23 29 -> ~32 fr=601 (0.4812), cf=0.919, gamma=1.023, delta=0.011, M=-4.907e+000
2 -> 31 fr=233 (0.1865), cf=0.893, gamma=1.058, delta=0.010, M=-4.853e+000
1 -> ~35 fr=554 (0.4436), cf=1.000, gamma=1.006, delta=0.003, M=-4.707e+000
25 -> ~32 fr=127 (0.1017), cf=0.955, gamma=1.063, delta=0.006, M=-4.500e+000
15 -> ~34 fr=1051 (0.8415), cf=0.990, gamma=1.004, delta=0.003, M=-4.499e+000
23 -> ~32 fr=703 (0.5629), cf=0.914, gamma=1.018, delta=0.010, M=-4.358e+000
23 -> ~34 fr=763 (0.6109), cf=0.992, gamma=1.007, delta=0.004, M=-4.288e+000
27 -> ~33 fr=1183 (0.9472), cf=0.974, gamma=1.003, delta=0.002, M=-4.230e+000
15 -> ~35 fr=1058 (0.8471), cf=0.996, gamma=1.003, delta=0.002, M=-3.871e+000
7 -> ~35 fr=463 (0.3707), cf=1.000, gamma=1.006, delta=0.002, M=-3.718e+000
12 19 20 29 -> 31 fr=221 (0.1769), cf=0.884, gamma=1.048, delta=0.008, M=-3.539e+000
12 20 29 -> 31 fr=413 (0.3307), cf=0.869, gamma=1.030, delta=0.010, M=-3.517e+000
2 12 -> ~33 fr=220 (0.1761), cf=0.991, gamma=1.020, delta=0.004, M=-3.457e+000
12 20 29 -> ~33 fr=467 (0.3739), cf=0.983, gamma=1.012, delta=0.005, M=-3.441e+000
12 20 -> ~33 fr=539 (0.4315), cf=0.982, gamma=1.011, delta=0.005, M=-3.414e+000
6 -> ~35 fr=423 (0.3387), cf=1.000, gamma=1.006, delta=0.002, M=-3.320e+000
30 -> ~34 fr=207 (0.1657), cf=1.000, gamma=1.015, delta=0.002, M=-3.286e+000
7 -> ~33 fr=455 (0.3643), cf=0.983, gamma=1.012, delta=0.004, M=-3.183e+000
12 -> ~33 fr=561 (0.4492), cf=0.981, gamma=1.010, delta=0.004, M=-3.129e+000
