1 15 -> 31 fr=493 (0.3957), cf=0.946, gamma=1.120, delta=0.042, M=-4.145e+001
1 -> 31 fr=515 (0.4133), cf=0.941, gamma=1.114, delta=0.042, M=-4.030e+001
15 27 -> 31 fr=930 (0.7464), cf=0.880, gamma=1.041, delta=0.029, M=-2.905e+001
11 -> 31 fr=341 (0.2737), cf=0.947, gamma=1.121, delta=0.030, M=-2.594e+001
20 23 -> 31 fr=663 (0.5321), cf=0.894, gamma=1.057, delta=0.029, M=-1.835e+001
23 -> 31 fr=674 (0.5409), cf=0.892, gamma=1.055, delta=0.028, M=-1.768e+001
1 15 -> ~32 fr=496 (0.3981), cf=0.952, gamma=1.059, delta=0.022, M=-1.714e+001
1 -> ~32 fr=519 (0.4165), cf=0.949, gamma=1.056, delta=0.022, M=-1.633e+001
6 -> 31 fr=382 (0.3066), cf=0.916, gamma=1.084, delta=0.024, M=-1.522e+001
15 -> ~33 fr=1045 (0.8387), cf=0.982, gamma=1.011, delta=0.009, M=-1.307e+001
11 -> ~32 fr=344 (0.2761), cf=0.956, gamma=1.063, delta=0.016, M=-1.214e+001
1 -> ~33 fr=543 (0.4358), cf=0.993, gamma=1.022, delta=0.009, M=-1.087e+001
1 -> ~34 fr=547 (0.4390), cf=1.000, gamma=1.015, delta=0.006, M=-1.050e+001
15 27 -> ~32 fr=967 (0.7761), cf=0.915, gamma=1.018, delta=0.014, M=-1.031e+001
15 -> ~32 fr=972 (0.7801), cf=0.914, gamma=1.016, delta=0.013, M=-9.296e+000
26 29 -> ~31 fr=161 (0.1292), cf=0.178, gamma=1.146, delta=0.016, M=-8.964e+000
6 12 23 -> ~33 fr=259 (0.2079), cf=1.000, gamma=1.030, delta=0.006, M=-8.524e+000
25 -> 31 fr=128 (0.1027), cf=0.941, gamma=1.114, delta=0.010, M=-8.177e+000
26 -> ~31 fr=185 (0.1485), cf=0.167, gamma=1.076, delta=0.010, M=-8.177e+000
27 -> ~32 fr=1101 (0.8836), cf=0.905, gamma=1.006, delta=0.006, M=-8.124e+000
23 -> ~35 fr=756 (0.6067), cf=1.000, gamma=1.006, delta=0.004, M=-7.501e+000
6 12 -> ~33 fr=290 (0.2327), cf=0.997, gamma=1.026, delta=0.006, M=-7.216e+000
20 23 -> ~32 fr=683 (0.5482), cf=0.920, gamma=1.024, delta=0.013, M=-6.441e+000
6 -> ~33 fr=413 (0.3315), cf=0.990, gamma=1.020, delta=0.006, M=-6.299e+000
