1 -> 31 fr=504 (0.4032), cf=0.942, gamma=1.115, delta=0.042, M=-3.958e+001
15 27 -> 31 fr=928 (0.7424), cf=0.882, gamma=1.044, delta=0.031, M=-3.174e+001
11 -> 31 fr=331 (0.2648), cf=0.946, gamma=1.119, delta=0.028, M=-2.438e+001
20 23 -> 31 fr=666 (0.5328), cf=0.899, gamma=1.064, delta=0.032, M=-2.215e+001
23 -> 31 fr=678 (0.5424), cf=0.897, gamma=1.062, delta=0.031, M=-2.157e+001
6 -> 31 fr=383 (0.3064), cf=0.925, gamma=1.095, delta=0.027, M=-1.902e+001
15 27 -> ~33 fr=1033 (0.8264), cf=0.982, gamma=1.013, delta=0.010, M=-1.431e+001
1 -> ~32 fr=508 (0.4064), cf=0.950, gamma=1.050, delta=0.019, M=-1.393e+001
15 -> ~33 fr=1041 (0.8328), cf=0.981, gamma=1.012, delta=0.010, M=-1.331e+001
1 -> ~33 fr=531 (0.4248), cf=0.993, gamma=1.024, delta=0.010, M=-1.127e+001
1 -> ~34 fr=535 (0.4280), cf=1.000, gamma=1.015, delta=0.007, M=-1.072e+001
11 -> ~32 fr=334 (0.2672), cf=0.954, gamma=1.056, delta=0.014, M=-9.860e+000
26 -> ~31 fr=187 (0.1496), cf=0.167, gamma=1.078, delta=0.011, M=-8.910e+000
6 12 23 -> ~33 fr=257 (0.2056), cf=1.000, gamma=1.031, delta=0.006, M=-8.895e+000
15 27 -> ~32 fr=966 (0.7728), cf=0.918, gamma=1.016, delta=0.012, M=-8.628e+000
23 -> ~35 fr=756 (0.6048), cf=1.000, gamma=1.007, delta=0.004, M=-8.400e+000
6 -> ~33 fr=411 (0.3288), cf=0.993, gamma=1.024, delta=0.008, M=-8.350e+000
15 23 -> ~32 fr=653 (0.5224), cf=0.930, gamma=1.029, delta=0.015, M=-8.174e+000
20 23 -> ~32 fr=688 (0.5504), cf=0.928, gamma=1.027, delta=0.015, M=-8.052e+000
27 -> ~32 fr=1109 (0.8872), cf=0.910, gamma=1.006, delta=0.006, M=-7.940e+000
15 -> ~32 fr=973 (0.7784), cf=0.917, gamma=1.014, delta=0.011, M=-7.842e+000
6 12 29 -> ~32 fr=255 (0.2040), cf=0.955, gamma=1.056, delta=0.011, M=-7.590e+000
23 -> ~33 fr=743 (0.5944), cf=0.983, gamma=1.014, delta=0.008, M=-7.129e+000
23 -> ~32 fr=700 (0.5600), cf=0.926, gamma=1.024, delta=0.013, M=-7.024e+000
2 12 -> 31 fr=206 (0.1648), cf=0.912, gamma=1.079, delta=0.012, M=-6.963e+000
6 12 -> ~32 fr=276 (0.2208), cf=0.948, gamma=1.049, delta=0.010, M=-6.531e+000
7 20 -> 31 fr=396 (0.3168), cf=0.886, gamma=1.049, delta=0.015, M=-6.487e+000
11 -> ~34 fr=350 (0.2800), cf=1.000, gamma=1.015, delta=0.004, M=-6.295e+000
7 -> 31 fr=411 (0.3288), cf=0.884, gamma=1.046, delta=0.015, M=-6.278e+000
11 -> ~33 fr=347 (0.2776), cf=0.991, gamma=1.023, delta=0.006, M=-6.174e+000
6 29 -> ~32 fr=349 (0.2792), cf=0.941, gamma=1.041, delta=0.011, M=-6.140e+000
6 -> ~32 fr=388 (0.3104), cf=0.937, gamma=1.037, delta=0.011, M=-5.900e+000
2 -> 31 fr=237 (0.1896), cf=0.898, gamma=1.063, delta=0.011, M=-5.563e+000
15 -> ~34 fr=1050 (0.8400), cf=0.990, gamma=1.005, delta=0.004, M=-5.523e+000
6 -> ~34 fr=413 (0.3304), cf=0.998, gamma=1.013, delta=0.004, M=-5.349e+000
12 -> 31 fr=495 (0.3960), cf=0.875, gamma=1.035, delta=0.013, M=-5.307e+000
1 -> ~35 fr=535 (0.4280), cf=1.000, gamma=1.007, delta=0.003, M=-5.049e+000
20 -> ~37 fr=1185 (0.9480), cf=0.999, gamma=1.002, delta=0.001, M=-4.894e+000
25 -> ~32 fr=127 (0.1016), cf=0.962, gamma=1.064, delta=0.006, M=-4.887e+000
20 27 -> ~33 fr=1137 (0.9096), cf=0.973, gamma=1.004, delta=0.004, M=-4.639e+000
23 -> ~34 fr=750 (0.6000), cf=0.992, gamma=1.007, delta=0.004, M=-4.624e+000
27 -> ~33 fr=1185 (0.9480), cf=0.972, gamma=1.003, delta=0.002, M=-4.368e+000
7 -> ~35 fr=465 (0.3720), cf=1.000, gamma=1.007, delta=0.003, M=-4.204e+000
2 12 -> ~33 fr=224 (0.1792), cf=0.991, gamma=1.022, delta=0.004, M=-3.869e+000
12 20 -> ~33 fr=533 (0.4264), cf=0.982, gamma=1.012, delta=0.005, M=-3.859e+000
30 -> ~34 fr=223 (0.1784), cf=1.000, gamma=1.015, delta=0.003, M=-3.764e+000
6 -> ~35 fr=414 (0.3312), cf=1.000, gamma=1.007, delta=0.002, M=-3.635e+000
12 -> ~33 fr=555 (0.4440), cf=0.981, gamma=1.011, delta=0.005, M=-3.579e+000
2 12 20 -> ~32 fr=202 (0.1616), cf=0.940, gamma=1.039, delta=0.006, M=-3.506e+000
2 12 -> ~32 fr=212 (0.1696), cf=0.938, gamma=1.038, delta=0.006, M=-3.445e+000
15 -> ~35 fr=1056 (0.8448), cf=0.995, gamma=1.003, delta=0.002, M=-3.373e+000
20 -> ~32 fr=1077 (0.8616), cf=0.908, gamma=1.005, delta=0.004, M=-3.320e+000
12 19 -> ~34 fr=294 (0.2352), cf=0.997, gamma=1.012, delta=0.003, M=-3.214e+000
11 -> ~35 fr=350 (0.2800), cf=1.000, gamma=1.007, delta=0.002, M=-2.968e+000
7 -> ~33 fr=456 (0.3648), cf=0.981, gamma=1.011, delta=0.004, M=-2.920e+000
15 -> ~37 fr=1060 (0.8480), cf=0.999, gamma=1.001, delta=0.001, M=-2.789e+000
2 -> ~33 fr=260 (0.2080), cf=0.985, gamma=1.016, delta=0.003, M=-2.656e+000
30 -> 31 fr=196 (0.1568), cf=0.879, gamma=1.040, delta=0.006, M=-2.648e+000
27 -> ~37 fr=1217 (0.9736), cf=0.998, gamma=1.001, delta=0.001, M=-2.622e+000
7 -> ~32 fr=428 (0.3424), cf=0.920, gamma=1.018, delta=0.006, M=-2.566e+000
2 -> ~32 fr=245 (0.1960), cf=0.928, gamma=1.027, delta=0.005, M=-2.505e+000
12 19 -> ~35 fr=295 (0.2360), cf=1.000, gamma=1.007, delta=0.002, M=-2.432e+000
18 -> ~36 fr=555 (0.4440), cf=1.000, gamma=1.003, delta=0.001, M=-2.352e+000
19 -> ~35 fr=608 (0.4864), cf=0.997, gamma=1.004, delta=0.002, M=-2.289e+000
1 -> ~36 fr=535 (0.4280), cf=1.000, gamma=1.003, delta=0.001, M=-2.238e+000
15 -> ~36 fr=1059 (0.8472), cf=0.998, gamma=1.001, delta=0.001, M=-2.200e+000
2 -> ~35 fr=264 (0.2112), cf=1.000, gamma=1.007, delta=0.002, M=-2.143e+000
25 -> ~34 fr=132 (0.1056), cf=1.000, gamma=1.015, delta=0.002, M=-2.137e+000
20 -> ~33 fr=1152 (0.9216), cf=0.971, gamma=1.002, delta=0.002, M=-2.078e+000
