1 15 -> 31 fr=497 (0.3976), cf=0.948, gamma=1.126, delta=0.044, M=-4.532e+001
1 -> 31 fr=520 (0.4160), cf=0.944, gamma=1.120, delta=0.045, M=-4.437e+001
15 27 -> 31 fr=926 (0.7408), cf=0.882, gamma=1.047, delta=0.033, M=-3.444e+001
11 -> 31 fr=340 (0.2720), cf=0.955, gamma=1.134, delta=0.032, M=-3.094e+001
20 23 -> 31 fr=665 (0.5320), cf=0.893, gamma=1.060, delta=0.030, M=-1.943e+001
1 15 -> ~32 fr=500 (0.4000), cf=0.954, gamma=1.062, delta=0.023, M=-1.885e+001
23 -> 31 fr=676 (0.5408), cf=0.891, gamma=1.057, delta=0.029, M=-1.878e+001
1 -> ~32 fr=524 (0.4192), cf=0.951, gamma=1.059, delta=0.023, M=-1.809e+001
11 -> ~32 fr=343 (0.2744), cf=0.963, gamma=1.072, delta=0.019, M=-1.559e+001
15 27 -> ~33 fr=1032 (0.8256), cf=0.983, gamma=1.013, delta=0.010, M=-1.469e+001
6 -> 31 fr=388 (0.3104), cf=0.911, gamma=1.081, delta=0.023, M=-1.439e+001
15 -> ~33 fr=1041 (0.8328), cf=0.982, gamma=1.012, delta=0.010, M=-1.373e+001
15 27 -> ~32 fr=962 (0.7696), cf=0.916, gamma=1.020, delta=0.015, M=-1.170e+001
1 -> ~33 fr=547 (0.4376), cf=0.993, gamma=1.023, delta=0.010, M=-1.145e+001
15 -> ~32 fr=970 (0.7760), cf=0.915, gamma=1.019, delta=0.014, M=-1.103e+001
1 -> ~34 fr=551 (0.4408), cf=1.000, gamma=1.014, delta=0.006, M=-9.968e+000
25 -> 31 fr=126 (0.1008), cf=0.947, gamma=1.125, delta=0.011, M=-9.321e+000
26 -> ~31 fr=190 (0.1520), cf=0.170, gamma=1.079, delta=0.011, M=-9.321e+000
6 12 23 -> ~33 fr=266 (0.2128), cf=1.000, gamma=1.031, delta=0.006, M=-9.000e+000
7 20 -> 31 fr=389 (0.3112), cf=0.892, gamma=1.059, delta=0.017, M=-8.498e+000
23 -> ~35 fr=759 (0.6072), cf=1.000, gamma=1.007, delta=0.004, M=-8.455e+000
27 -> ~32 fr=1100 (0.8800), cf=0.905, gamma=1.007, delta=0.006, M=-8.147e+000
