1 -> 31 fr=514 (0.4112), cf=0.948, gamma=1.121, delta=0.045, M=-4.544e+001
15 27 -> 31 fr=928 (0.7424), cf=0.883, gamma=1.044, delta=0.031, M=-3.175e+001
11 -> 31 fr=337 (0.2696), cf=0.952, gamma=1.126, delta=0.030, M=-2.777e+001
1 -> ~32 fr=517 (0.4136), cf=0.954, gamma=1.058, delta=0.023, M=-1.797e+001
6 12 29 -> 31 fr=257 (0.2056), cf=0.945, gamma=1.117, delta=0.022, M=-1.771e+001
6 -> 31 fr=386 (0.3088), cf=0.921, gamma=1.089, delta=0.025, M=-1.729e+001
20 23 -> 31 fr=658 (0.5264), cf=0.890, gamma=1.053, delta=0.026, M=-1.584e+001
23 -> 31 fr=670 (0.5360), cf=0.889, gamma=1.051, delta=0.026, M=-1.534e+001
11 -> ~32 fr=340 (0.2720), cf=0.960, gamma=1.065, delta=0.017, M=-1.311e+001
1 -> ~33 fr=539 (0.4312), cf=0.994, gamma=1.025, delta=0.010, M=-1.304e+001
15 27 -> ~32 fr=966 (0.7728), cf=0.919, gamma=1.019, delta=0.015, M=-1.170e+001
15 27 -> ~33 fr=1031 (0.8248), cf=0.981, gamma=1.011, delta=0.009, M=-1.135e+001
27 -> ~32 fr=1107 (0.8856), cf=0.909, gamma=1.008, delta=0.007, M=-1.082e+001
15 -> ~32 fr=972 (0.7776), cf=0.918, gamma=1.018, delta=0.014, M=-1.073e+001
15 -> ~33 fr=1038 (0.8304), cf=0.980, gamma=1.010, delta=0.008, M=-1.034e+001
1 -> ~34 fr=542 (0.4336), cf=1.000, gamma=1.015, delta=0.006, M=-1.033e+001
6 12 -> ~33 fr=294 (0.2352), cf=1.000, gamma=1.031, delta=0.007, M=-1.009e+001
6 -> ~33 fr=416 (0.3328), cf=0.993, gamma=1.023, delta=0.008, M=-8.188e+000
25 -> 31 fr=126 (0.1008), cf=0.940, gamma=1.112, delta=0.010, M=-7.872e+000
26 -> ~31 fr=185 (0.1480), cf=0.166, gamma=1.074, delta=0.010, M=-7.872e+000
6 12 29 -> ~32 fr=259 (0.2072), cf=0.952, gamma=1.056, delta=0.011, M=-7.460e+000
