1 15 -> 31 fr=482 (0.3856), cf=0.941, gamma=1.115, delta=0.040, M=-3.706e+001
1 -> 31 fr=504 (0.4032), cf=0.937, gamma=1.110, delta=0.040, M=-3.608e+001
15 27 -> 31 fr=929 (0.7432), cf=0.878, gamma=1.040, delta=0.029, M=-2.774e+001
11 -> 31 fr=338 (0.2704), cf=0.944, gamma=1.119, delta=0.029, M=-2.453e+001
20 23 -> 31 fr=651 (0.5208), cf=0.889, gamma=1.054, delta=0.027, M=-1.577e+001
23 -> 31 fr=660 (0.5280), cf=0.888, gamma=1.052, delta=0.026, M=-1.558e+001
6 -> 31 fr=375 (0.3000), cf=0.915, gamma=1.084, delta=0.023, M=-1.467e+001
1 15 -> ~32 fr=485 (0.3880), cf=0.947, gamma=1.053, delta=0.020, M=-1.389e+001
1 -> ~32 fr=508 (0.4064), cf=0.944, gamma=1.050, delta=0.019, M=-1.321e+001
15 27 -> ~33 fr=1038 (0.8304), cf=0.981, gamma=1.012, delta=0.010, M=-1.306e+001
1 15 -> ~33 fr=509 (0.4072), cf=0.994, gamma=1.025, delta=0.010, M=-1.222e+001
15 -> ~33 fr=1046 (0.8368), cf=0.980, gamma=1.011, delta=0.009, M=-1.210e+001
1 -> ~33 fr=534 (0.4272), cf=0.993, gamma=1.024, delta=0.010, M=-1.139e+001
11 -> ~32 fr=341 (0.2728), cf=0.953, gamma=1.059, delta=0.015, M=-1.078e+001
1 -> ~34 fr=538 (0.4304), cf=1.000, gamma=1.014, delta=0.006, M=-9.651e+000
15 27 -> ~32 fr=967 (0.7736), cf=0.914, gamma=1.016, delta=0.013, M=-9.093e+000
6 12 23 -> ~33 fr=251 (0.2008), cf=1.000, gamma=1.031, delta=0.006, M=-8.662e+000
15 -> ~32 fr=974 (0.7792), cf=0.913, gamma=1.015, delta=0.012, M=-8.348e+000
26 29 -> ~31 fr=161 (0.1288), cf=0.177, gamma=1.132, delta=0.015, M=-7.657e+000
26 -> ~31 fr=187 (0.1496), cf=0.167, gamma=1.070, delta=0.010, M=-7.549e+000
