1 -> 31 fr=515 (0.4120), cf=0.941, gamma=1.114, delta=0.042, M=-4.042e+001
15 27 -> 31 fr=929 (0.7432), cf=0.884, gamma=1.046, delta=0.033, M=-3.431e+001
11 -> 31 fr=340 (0.2720), cf=0.950, gamma=1.124, delta=0.030, M=-2.719e+001
23 -> 31 fr=678 (0.5424), cf=0.896, gamma=1.060, delta=0.031, M=-2.075e+001
6 -> 31 fr=381 (0.3048), cf=0.916, gamma=1.084, delta=0.024, M=-1.518e+001
15 27 -> ~33 fr=1031 (0.8248), cf=0.981, gamma=1.013, delta=0.011, M=-1.493e+001
1 -> ~32 fr=519 (0.4152), cf=0.949, gamma=1.051, delta=0.020, M=-1.432e+001
15 -> ~33 fr=1038 (0.8304), cf=0.980, gamma=1.013, delta=0.010, M=-1.388e+001
1 -> ~33 fr=543 (0.4344), cf=0.993, gamma=1.026, delta=0.011, M=-1.276e+001
11 -> ~32 fr=343 (0.2744), cf=0.958, gamma=1.061, delta=0.016, M=-1.181e+001
1 -> ~34 fr=547 (0.4376), cf=1.000, gamma=1.015, delta=0.006, M=-1.046e+001
27 -> ~32 fr=1107 (0.8856), cf=0.910, gamma=1.008, delta=0.007, M=-1.028e+001
6 12 23 -> ~33 fr=257 (0.2056), cf=1.000, gamma=1.033, delta=0.007, M=-9.372e+000
25 -> 31 fr=127 (0.1016), cf=0.948, gamma=1.122, delta=0.011, M=-9.175e+000
26 -> ~31 fr=187 (0.1496), cf=0.168, gamma=1.080, delta=0.011, M=-9.175e+000
15 -> ~32 fr=971 (0.7768), cf=0.917, gamma=1.015, delta=0.012, M=-8.323e+000
6 12 -> ~33 fr=292 (0.2336), cf=0.997, gamma=1.030, delta=0.007, M=-8.257e+000
6 -> ~33 fr=412 (0.3296), cf=0.990, gamma=1.023, delta=0.007, M=-7.478e+000
23 -> ~35 fr=757 (0.6056), cf=1.000, gamma=1.006, delta=0.004, M=-7.478e+000
23 -> ~33 fr=743 (0.5944), cf=0.982, gamma=1.014, delta=0.008, M=-7.133e+000
11 -> ~33 fr=355 (0.2840), cf=0.992, gamma=1.024, delta=0.007, M=-6.978e+000
23 -> ~32 fr=700 (0.5600), cf=0.925, gamma=1.024, delta=0.013, M=-6.795e+000
7 20 -> 31 fr=398 (0.3184), cf=0.886, gamma=1.049, delta=0.015, M=-6.648e+000
2 12 -> 31 fr=199 (0.1592), cf=0.909, gamma=1.076, delta=0.011, M=-6.290e+000
11 -> ~34 fr=358 (0.2864), cf=1.000, gamma=1.015, delta=0.004, M=-6.123e+000
7 -> 31 fr=409 (0.3272), cf=0.883, gamma=1.046, delta=0.014, M=-6.123e+000
15 -> ~34 fr=1049 (0.8392), cf=0.991, gamma=1.005, delta=0.004, M=-5.864e+000
20 27 -> ~33 fr=1135 (0.9080), cf=0.973, gamma=1.005, delta=0.004, M=-5.627e+000
27 -> ~33 fr=1181 (0.9448), cf=0.971, gamma=1.003, delta=0.003, M=-5.613e+000
25 -> ~32 fr=129 (0.1032), cf=0.963, gamma=1.066, delta=0.006, M=-5.118e+000
6 -> ~34 fr=415 (0.3320), cf=0.998, gamma=1.012, delta=0.004, M=-5.027e+000
20 -> ~37 fr=1186 (0.9488), cf=0.999, gamma=1.002, delta=0.001, M=-4.925e+000
2 -> 31 fr=232 (0.1856), cf=0.892, gamma=1.056, delta=0.010, M=-4.657e+000
1 -> ~35 fr=547 (0.4376), cf=1.000, gamma=1.006, delta=0.003, M=-4.622e+000
