1 15 -> 31 fr=487 (0.3896), cf=0.947, gamma=1.119, delta=0.042, M=-4.085e+001
1 -> 31 fr=512 (0.4096), cf=0.943, gamma=1.114, delta=0.042, M=-4.021e+001
11 -> 31 fr=344 (0.2752), cf=0.950, gamma=1.123, delta=0.030, M=-2.727e+001
1 15 -> ~32 fr=490 (0.3920), cf=0.953, gamma=1.059, delta=0.022, M=-1.706e+001
20 23 -> 31 fr=662 (0.5296), cf=0.892, gamma=1.054, delta=0.027, M=-1.665e+001
1 -> ~32 fr=516 (0.4128), cf=0.950, gamma=1.056, delta=0.022, M=-1.650e+001
23 -> 31 fr=673 (0.5384), cf=0.890, gamma=1.052, delta=0.026, M=-1.600e+001
15 -> ~33 fr=1044 (0.8352), cf=0.985, gamma=1.012, delta=0.010, M=-1.538e+001
6 -> 31 fr=380 (0.3040), cf=0.916, gamma=1.082, delta=0.023, M=-1.455e+001
11 -> ~32 fr=347 (0.2776), cf=0.959, gamma=1.065, delta=0.017, M=-1.313e+001
1 -> ~34 fr=543 (0.4344), cf=1.000, gamma=1.015, delta=0.006, M=-1.035e+001
1 -> ~33 fr=539 (0.4312), cf=0.993, gamma=1.020, delta=0.009, M=-9.702e+000
15 27 -> ~32 fr=963 (0.7704), cf=0.915, gamma=1.016, delta=0.012, M=-8.709e+000
15 -> ~32 fr=969 (0.7752), cf=0.914, gamma=1.016, delta=0.012, M=-8.610e+000
12 23 -> ~33 fr=399 (0.3192), cf=0.995, gamma=1.023, delta=0.007, M=-8.341e+000
25 -> 31 fr=127 (0.1016), cf=0.941, gamma=1.111, delta=0.010, M=-7.907e+000
26 -> ~31 fr=184 (0.1472), cf=0.165, gamma=1.074, delta=0.010, M=-7.907e+000
27 -> ~32 fr=1104 (0.8832), cf=0.906, gamma=1.006, delta=0.006, M=-7.599e+000
2 12 -> 31 fr=205 (0.1640), cf=0.915, gamma=1.081, delta=0.012, M=-7.326e+000
23 -> ~33 fr=745 (0.5960), cf=0.985, gamma=1.013, delta=0.008, M=-7.229e+000
12 20 29 -> ~33 fr=464 (0.3712), cf=0.991, gamma=1.019, delta=0.007, M=-7.162e+000
6 12 -> ~33 fr=292 (0.2336), cf=0.997, gamma=1.024, delta=0.006, M=-6.755e+000
12 20 -> ~33 fr=536 (0.4288), cf=0.989, gamma=1.017, delta=0.007, M=-6.652e+000
23 -> ~35 fr=756 (0.6048), cf=1.000, gamma=1.006, delta=0.003, M=-6.524e+000
11 -> ~34 fr=362 (0.2896), cf=1.000, gamma=1.015, delta=0.004, M=-6.205e+000
12 29 -> ~33 fr=477 (0.3816), cf=0.990, gamma=1.017, delta=0.006, M=-6.183e+000
12 -> ~33 fr=555 (0.4440), cf=0.988, gamma=1.015, delta=0.007, M=-5.994e+000
6 -> ~33 fr=411 (0.3288), cf=0.990, gamma=1.018, delta=0.006, M=-5.593e+000
7 -> 31 fr=411 (0.3288), cf=0.882, gamma=1.042, delta=0.013, M=-5.493e+000
11 -> ~33 fr=359 (0.2872), cf=0.992, gamma=1.019, delta=0.005, M=-5.477e+000
20 23 -> ~32 fr=682 (0.5456), cf=0.919, gamma=1.021, delta=0.011, M=-5.399e+000
20 27 -> ~33 fr=1142 (0.9136), cf=0.977, gamma=1.004, delta=0.004, M=-5.346e+000
12 20 29 -> 31 fr=412 (0.3296), cf=0.880, gamma=1.040, delta=0.013, M=-5.149e+000
12 20 -> 31 fr=475 (0.3800), cf=0.876, gamma=1.035, delta=0.013, M=-5.111e+000
12 -> 31 fr=492 (0.3936), cf=0.875, gamma=1.034, delta=0.013, M=-5.108e+000
6 23 -> ~32 fr=327 (0.2616), cf=0.934, gamma=1.038, delta=0.010, M=-5.050e+000
6 -> ~34 fr=414 (0.3312), cf=0.998, gamma=1.012, delta=0.004, M=-5.008e+000
6 -> ~32 fr=386 (0.3088), cf=0.930, gamma=1.033, delta=0.010, M=-4.958e+000
20 -> ~37 fr=1187 (0.9496), cf=0.999, gamma=1.002, delta=0.001, M=-4.957e+000
2 -> 31 fr=237 (0.1896), cf=0.894, gamma=1.057, delta=0.010, M=-4.834e+000
27 -> ~33 fr=1189 (0.9512), cf=0.975, gamma=1.003, delta=0.003, M=-4.763e+000
23 -> ~32 fr=693 (0.5544), cf=0.917, gamma=1.019, delta=0.010, M=-4.577e+000
2 12 -> ~32 fr=211 (0.1688), cf=0.942, gamma=1.047, delta=0.008, M=-4.506e+000
25 -> ~32 fr=129 (0.1032), cf=0.956, gamma=1.062, delta=0.006, M=-4.483e+000
15 23 -> ~34 fr=695 (0.5560), cf=0.993, gamma=1.007, delta=0.004, M=-4.257e+000
23 -> ~34 fr=750 (0.6000), cf=0.992, gamma=1.007, delta=0.004, M=-4.040e+000
1 -> ~35 fr=543 (0.4344), cf=1.000, gamma=1.006, delta=0.002, M=-4.002e+000
12 15 -> ~35 fr=505 (0.4040), cf=1.000, gamma=1.006, delta=0.002, M=-3.634e+000
7 -> ~33 fr=459 (0.3672), cf=0.985, gamma=1.013, delta=0.005, M=-3.580e+000
30 -> ~34 fr=220 (0.1760), cf=1.000, gamma=1.015, delta=0.003, M=-3.511e+000
7 -> ~35 fr=466 (0.3728), cf=1.000, gamma=1.006, delta=0.002, M=-3.275e+000
15 -> ~34 fr=1048 (0.8384), cf=0.989, gamma=1.003, delta=0.003, M=-3.143e+000
2 20 -> ~32 fr=236 (0.1888), cf=0.929, gamma=1.032, delta=0.006, M=-3.011e+000
