1 15 -> 31 fr=493 (0.3944), cf=0.944, gamma=1.126, delta=0.044, M=-4.395e+001
1 -> 31 fr=519 (0.4152), cf=0.940, gamma=1.121, delta=0.045, M=-4.387e+001
11 -> 31 fr=338 (0.2704), cf=0.952, gamma=1.136, delta=0.032, M=-3.063e+001
15 27 -> 31 fr=917 (0.7336), cf=0.876, gamma=1.045, delta=0.031, M=-3.046e+001
1 15 -> ~32 fr=496 (0.3968), cf=0.950, gamma=1.061, delta=0.023, M=-1.773e+001
1 -> ~32 fr=523 (0.4184), cf=0.947, gamma=1.058, delta=0.023, M=-1.744e+001
20 23 -> 31 fr=657 (0.5256), cf=0.885, gamma=1.056, delta=0.028, M=-1.686e+001
23 -> 31 fr=670 (0.5360), cf=0.884, gamma=1.054, delta=0.028, M=-1.660e+001
11 -> ~32 fr=341 (0.2728), cf=0.961, gamma=1.073, delta=0.019, M=-1.520e+001
6 -> 31 fr=378 (0.3024), cf=0.906, gamma=1.081, delta=0.023, M=-1.362e+001
15 27 -> ~33 fr=1029 (0.8232), cf=0.983, gamma=1.012, delta=0.010, M=-1.321e+001
15 -> ~33 fr=1036 (0.8288), cf=0.982, gamma=1.011, delta=0.009, M=-1.211e+001
1 -> ~33 fr=548 (0.4384), cf=0.993, gamma=1.022, delta=0.010, M=-1.100e+001
1 -> ~34 fr=552 (0.4416), cf=1.000, gamma=1.015, delta=0.006, M=-1.059e+001
15 27 -> ~32 fr=955 (0.7640), cf=0.912, gamma=1.019, delta=0.014, M=-1.048e+001
25 -> 31 fr=127 (0.1016), cf=0.948, gamma=1.130, delta=0.012, M=-9.932e+000
26 -> ~31 fr=195 (0.1560), cf=0.175, gamma=1.081, delta=0.012, M=-9.932e+000
15 -> ~32 fr=961 (0.7688), cf=0.911, gamma=1.018, delta=0.013, M=-9.625e+000
27 -> ~32 fr=1097 (0.8776), cf=0.902, gamma=1.008, delta=0.007, M=-9.459e+000
6 12 23 -> ~33 fr=258 (0.2064), cf=1.000, gamma=1.030, delta=0.006, M=-8.456e+000
23 -> ~35 fr=758 (0.6064), cf=1.000, gamma=1.007, delta=0.004, M=-8.437e+000
6 12 -> ~33 fr=291 (0.2328), cf=0.997, gamma=1.026, delta=0.006, M=-7.218e+000
7 20 -> 31 fr=393 (0.3144), cf=0.881, gamma=1.051, delta=0.015, M=-6.708e+000
7 -> 31 fr=407 (0.3256), cf=0.879, gamma=1.048, delta=0.015, M=-6.474e+000
6 -> ~33 fr=413 (0.3304), cf=0.990, gamma=1.020, delta=0.006, M=-6.258e+000
23 -> ~33 fr=745 (0.5960), cf=0.983, gamma=1.012, delta=0.007, M=-6.114e+000
2 12 -> 31 fr=195 (0.1560), cf=0.903, gamma=1.077, delta=0.011, M=-6.113e+000
20 27 -> ~33 fr=1136 (0.9088), cf=0.976, gamma=1.005, delta=0.004, M=-6.106e+000
27 -> ~33 fr=1185 (0.9480), cf=0.975, gamma=1.003, delta=0.003, M=-6.091e+000
11 -> ~34 fr=355 (0.2840), cf=1.000, gamma=1.015, delta=0.004, M=-6.062e+000
25 -> ~32 fr=129 (0.1032), cf=0.963, gamma=1.075, delta=0.007, M=-5.966e+000
11 -> ~33 fr=352 (0.2816), cf=0.992, gamma=1.021, delta=0.006, M=-5.803e+000
23 -> ~34 fr=753 (0.6024), cf=0.993, gamma=1.008, delta=0.005, M=-5.378e+000
18 23 26 29 -> ~32 fr=191 (0.1528), cf=0.946, gamma=1.056, delta=0.008, M=-5.280e+000
1 -> ~35 fr=552 (0.4416), cf=1.000, gamma=1.007, delta=0.003, M=-5.267e+000
18 20 23 -> ~32 fr=272 (0.2176), cf=0.935, gamma=1.044, delta=0.009, M=-5.067e+000
6 -> ~34 fr=416 (0.3328), cf=0.998, gamma=1.012, delta=0.004, M=-5.045e+000
20 23 -> ~32 fr=678 (0.5424), cf=0.914, gamma=1.021, delta=0.011, M=-5.015e+000
18 23 -> ~32 fr=280 (0.2240), cf=0.933, gamma=1.043, delta=0.009, M=-4.942e+000
20 -> ~37 fr=1184 (0.9472), cf=0.999, gamma=1.002, delta=0.001, M=-4.863e+000
2 12 -> ~33 fr=215 (0.1720), cf=0.995, gamma=1.025, delta=0.004, M=-4.764e+000
2 -> 31 fr=227 (0.1816), cf=0.887, gamma=1.058, delta=0.010, M=-4.594e+000
23 29 -> ~32 fr=583 (0.4664), cf=0.915, gamma=1.022, delta=0.010, M=-4.449e+000
23 -> ~32 fr=691 (0.5528), cf=0.912, gamma=1.018, delta=0.010, M=-4.379e+000
7 -> ~35 fr=463 (0.3704), cf=1.000, gamma=1.007, delta=0.003, M=-4.181e+000
12 20 -> ~33 fr=535 (0.4280), cf=0.983, gamma=1.013, delta=0.005, M=-4.141e+000
7 -> ~33 fr=456 (0.3648), cf=0.985, gamma=1.014, delta=0.005, M=-4.053e+000
6 12 29 -> ~32 fr=251 (0.2008), cf=0.930, gamma=1.038, delta=0.007, M=-3.861e+000
6 29 -> ~32 fr=347 (0.2776), cf=0.923, gamma=1.031, delta=0.008, M=-3.859e+000
6 -> ~32 fr=384 (0.3072), cf=0.921, gamma=1.029, delta=0.009, M=-3.852e+000
12 -> ~33 fr=556 (0.4448), cf=0.982, gamma=1.011, delta=0.005, M=-3.782e+000
6 -> ~35 fr=417 (0.3336), cf=1.000, gamma=1.007, delta=0.002, M=-3.667e+000
30 -> ~34 fr=223 (0.1784), cf=1.000, gamma=1.015, delta=0.003, M=-3.564e+000
7 18 20 -> ~32 fr=214 (0.1712), cf=0.930, gamma=1.039, delta=0.006, M=-3.476e+000
15 -> ~35 fr=1050 (0.8400), cf=0.995, gamma=1.002, delta=0.002, M=-3.268e+000
15 -> ~34 fr=1043 (0.8344), cf=0.989, gamma=1.003, delta=0.003, M=-3.031e+000
11 -> ~35 fr=355 (0.2840), cf=1.000, gamma=1.007, delta=0.002, M=-3.018e+000
12 19 -> ~34 fr=293 (0.2344), cf=0.997, gamma=1.011, delta=0.003, M=-2.972e+000
7 20 -> ~32 fr=408 (0.3264), cf=0.915, gamma=1.022, delta=0.007, M=-2.907e+000
7 18 -> ~32 fr=221 (0.1768), cf=0.925, gamma=1.033, delta=0.006, M=-2.840e+000
2 12 20 -> ~32 fr=191 (0.1528), cf=0.927, gamma=1.036, delta=0.005, M=-2.803e+000
12 -> 31 fr=485 (0.3880), cf=0.857, gamma=1.022, delta=0.008, M=-2.787e+000
2 12 -> ~32 fr=200 (0.1600), cf=0.926, gamma=1.034, delta=0.005, M=-2.765e+000
15 -> ~37 fr=1054 (0.8432), cf=0.999, gamma=1.001, delta=0.001, M=-2.730e+000
20 -> ~32 fr=1065 (0.8520), cf=0.899, gamma=1.004, delta=0.003, M=-2.675e+000
27 -> ~37 fr=1214 (0.9712), cf=0.998, gamma=1.001, delta=0.001, M=-2.532e+000
7 -> ~32 fr=422 (0.3376), cf=0.911, gamma=1.018, delta=0.006, M=-2.423e+000
12 19 -> ~35 fr=294 (0.2352), cf=1.000, gamma=1.007, delta=0.002, M=-2.422e+000
1 -> ~36 fr=552 (0.4416), cf=1.000, gamma=1.003, delta=0.001, M=-2.335e+000
19 -> ~35 fr=612 (0.4896), cf=0.997, gamma=1.004, delta=0.002, M=-2.323e+000
18 -> ~36 fr=549 (0.4392), cf=1.000, gamma=1.003, delta=0.001, M=-2.317e+000
2 -> ~32 fr=235 (0.1880), cf=0.918, gamma=1.025, delta=0.005, M=-2.212e+000
2 -> ~33 fr=252 (0.2016), cf=0.984, gamma=1.014, delta=0.003, M=-2.210e+000
20 29 -> ~33 fr=963 (0.7704), cf=0.975, gamma=1.004, delta=0.003, M=-2.186e+000
20 -> ~33 fr=1153 (0.9224), cf=0.973, gamma=1.002, delta=0.002, M=-2.185e+000
15 -> ~36 fr=1053 (0.8424), cf=0.998, gamma=1.001, delta=0.001, M=-2.144e+000
2 -> ~35 fr=256 (0.2048), cf=1.000, gamma=1.007, delta=0.001, M=-2.070e+000
25 -> ~34 fr=134 (0.1072), cf=1.000, gamma=1.015, delta=0.002, M=-2.056e+000
30 -> 31 fr=193 (0.1544), cf=0.865, gamma=1.032, delta=0.005, M=-2.022e+000
12 -> ~35 fr=564 (0.4512), cf=0.996, gamma=1.004, delta=0.002, M=-1.933e+000
15 -> ~39 fr=1055 (0.8440), cf=1.000, gamma=1.001, delta=0.001, M=-1.858e+000
30 -> ~35 fr=223 (0.1784), cf=1.000, gamma=1.007, delta=0.001, M=-1.775e+000
23 -> ~36 fr=757 (0.6056), cf=0.999, gamma=1.002, delta=0.001, M=-1.763e+000
1 -> ~37 fr=552 (0.4416), cf=1.000, gamma=1.002, delta=0.001, M=-1.750e+000
18 -> ~37 fr=549 (0.4392), cf=1.000, gamma=1.002, delta=0.001, M=-1.737e+000
20 -> ~36 fr=1182 (0.9456), cf=0.997, gamma=1.001, delta=0.001, M=-1.647e+000
18 -> ~33 fr=536 (0.4288), cf=0.976, gamma=1.005, delta=0.002, M=-1.531e+000
12 -> ~34 fr=560 (0.4480), cf=0.989, gamma=1.004, delta=0.002, M=-1.528e+000
27 -> ~35 fr=1208 (0.9664), cf=0.993, gamma=1.001, delta=0.001, M=-1.512e+000
7 19 -> ~34 fr=181 (0.1448), cf=0.995, gamma=1.009, delta=0.001, M=-1.438e+000
25 -> ~33 fr=132 (0.1056), cf=0.985, gamma=1.014, delta=0.001, M=-1.432e+000
11 -> ~36 fr=355 (0.2840), cf=1.000, gamma=1.003, delta=0.001, M=-1.338e+000
7 -> ~34 fr=458 (0.3664), cf=0.989, gamma=1.004, delta=0.001, M=-1.243e+000
6 -> ~37 fr=417 (0.3336), cf=1.000, gamma=1.002, delta=0.001, M=-1.219e+000
23 -> ~37 fr=757 (0.6056), cf=0.999, gamma=1.001, delta=0.001, M=-1.071e+000
3 -> ~36 fr=291 (0.2328), cf=1.000, gamma=1.003, delta=0.001, M=-1.061e+000
25 -> ~35 fr=134 (0.1072), cf=1.000, gamma=1.007, delta=0.001, M=-1.024e+000
11 -> ~37 fr=355 (0.2840), cf=1.000, gamma=1.002, delta=0.001, M=-1.003e+000
20 -> ~35 fr=1177 (0.9416), cf=0.993, gamma=1.000, delta=0.000, M=-9.608e-001
27 -> ~34 fr=1199 (0.9592), cf=0.986, gamma=1.000, delta=0.000, M=-9.330e-001
12 19 29 -> ~32 fr=228 (0.1824), cf=0.901, gamma=1.007, delta=0.001, M=-8.805e-001
12 29 -> ~32 fr=431 (0.3448), cf=0.898, gamma=1.003, delta=0.001, M=-8.173e-001
