1 15 -> 31 fr=484 (0.3872), cf=0.951, gamma=1.123, delta=0.043, M=-4.320e+001
1 -> 31 fr=506 (0.4048), cf=0.946, gamma=1.117, delta=0.043, M=-4.181e+001
15 27 -> 31 fr=926 (0.7408), cf=0.885, gamma=1.046, delta=0.033, M=-3.338e+001
15 -> 31 fr=933 (0.7464), cf=0.884, gamma=1.044, delta=0.031, M=-3.221e+001
11 -> 31 fr=336 (0.2688), cf=0.955, gamma=1.128, delta=0.030, M=-2.872e+001
20 23 -> 31 fr=659 (0.5272), cf=0.898, gamma=1.061, delta=0.030, M=-2.006e+001
1 15 -> ~32 fr=487 (0.3896), cf=0.957, gamma=1.065, delta=0.024, M=-1.977e+001
23 -> 31 fr=671 (0.5368), cf=0.896, gamma=1.058, delta=0.030, M=-1.947e+001
1 -> ~32 fr=510 (0.4080), cf=0.953, gamma=1.061, delta=0.023, M=-1.880e+001
11 -> ~32 fr=339 (0.2712), cf=0.963, gamma=1.072, delta=0.018, M=-1.519e+001
6 -> 31 fr=384 (0.3072), cf=0.916, gamma=1.083, delta=0.023, M=-1.504e+001
15 27 -> ~33 fr=1028 (0.8224), cf=0.983, gamma=1.013, delta=0.010, M=-1.436e+001
15 -> ~33 fr=1037 (0.8296), cf=0.982, gamma=1.012, delta=0.010, M=-1.340e+001
25 -> 31 fr=134 (0.1072), cf=0.964, gamma=1.139, delta=0.013, M=-1.259e+001
26 -> ~31 fr=187 (0.1496), cf=0.168, gamma=1.096, delta=0.013, M=-1.259e+001
15 27 -> ~32 fr=959 (0.7672), cf=0.917, gamma=1.021, delta=0.015, M=-1.218e+001
15 -> ~32 fr=967 (0.7736), cf=0.916, gamma=1.019, delta=0.015, M=-1.150e+001
1 -> ~33 fr=531 (0.4248), cf=0.993, gamma=1.023, delta=0.009, M=-1.080e+001
27 -> ~32 fr=1100 (0.8800), cf=0.905, gamma=1.008, delta=0.007, M=-9.446e+000
25 -> ~32 fr=136 (0.1088), cf=0.978, gamma=1.089, delta=0.009, M=-8.840e+000
