1 -> 31 fr=519 (0.4152), cf=0.939, gamma=1.116, delta=0.043, M=-4.099e+001
11 -> 31 fr=344 (0.2752), cf=0.948, gamma=1.127, delta=0.031, M=-2.800e+001
15 27 -> 31 fr=922 (0.7376), cf=0.875, gamma=1.040, delta=0.029, M=-2.676e+001
20 23 -> 31 fr=656 (0.5248), cf=0.886, gamma=1.054, delta=0.027, M=-1.609e+001
23 -> 31 fr=668 (0.5344), cf=0.885, gamma=1.052, delta=0.027, M=-1.566e+001
1 -> ~32 fr=523 (0.4184), cf=0.946, gamma=1.053, delta=0.021, M=-1.495e+001
6 -> 31 fr=369 (0.2952), cf=0.909, gamma=1.081, delta=0.022, M=-1.333e+001
11 -> ~32 fr=347 (0.2776), cf=0.956, gamma=1.064, delta=0.017, M=-1.254e+001
1 -> ~34 fr=553 (0.4424), cf=1.000, gamma=1.016, delta=0.007, M=-1.180e+001
1 15 -> ~33 fr=521 (0.4168), cf=0.994, gamma=1.024, delta=0.010, M=-1.178e+001
1 -> ~33 fr=549 (0.4392), cf=0.993, gamma=1.022, delta=0.010, M=-1.104e+001
27 -> ~32 fr=1103 (0.8824), cf=0.906, gamma=1.008, delta=0.007, M=-1.048e+001
15 27 -> ~33 fr=1034 (0.8272), cf=0.981, gamma=1.010, delta=0.008, M=-1.042e+001
25 -> 31 fr=130 (0.1040), cf=0.949, gamma=1.129, delta=0.012, M=-1.006e+001
26 -> ~31 fr=192 (0.1536), cf=0.173, gamma=1.084, delta=0.012, M=-1.006e+001
15 -> ~33 fr=1042 (0.8336), cf=0.980, gamma=1.009, delta=0.008, M=-9.490e+000
6 12 23 -> ~33 fr=252 (0.2016), cf=1.000, gamma=1.030, delta=0.006, M=-8.235e+000
23 -> ~35 fr=755 (0.6040), cf=1.000, gamma=1.006, delta=0.004, M=-7.445e+000
6 12 -> ~33 fr=286 (0.2288), cf=0.997, gamma=1.026, delta=0.006, M=-7.048e+000
15 -> ~32 fr=968 (0.7744), cf=0.911, gamma=1.014, delta=0.010, M=-6.937e+000
11 -> ~34 fr=363 (0.2904), cf=1.000, gamma=1.016, delta=0.005, M=-6.924e+000
2 12 -> 31 fr=194 (0.1552), cf=0.907, gamma=1.078, delta=0.011, M=-6.336e+000
11 -> ~33 fr=360 (0.2880), cf=0.992, gamma=1.021, delta=0.006, M=-6.045e+000
6 -> ~33 fr=402 (0.3216), cf=0.990, gamma=1.020, delta=0.006, M=-5.927e+000
7 20 -> 31 fr=401 (0.3208), cf=0.879, gamma=1.046, delta=0.014, M=-5.925e+000
25 -> ~32 fr=132 (0.1056), cf=0.964, gamma=1.072, delta=0.007, M=-5.867e+000
7 -> 31 fr=415 (0.3320), cf=0.877, gamma=1.044, delta=0.014, M=-5.701e+000
6 -> ~34 fr=405 (0.3240), cf=0.998, gamma=1.014, delta=0.004, M=-5.546e+000
15 23 -> ~34 fr=697 (0.5576), cf=0.993, gamma=1.009, delta=0.005, M=-5.408e+000
20 23 -> ~32 fr=679 (0.5432), cf=0.918, gamma=1.021, delta=0.011, M=-5.334e+000
15 -> ~34 fr=1051 (0.8408), cf=0.989, gamma=1.005, delta=0.004, M=-5.216e+000
23 -> ~34 fr=749 (0.5992), cf=0.992, gamma=1.008, delta=0.005, M=-5.207e+000
23 -> ~33 fr=741 (0.5928), cf=0.981, gamma=1.011, delta=0.006, M=-5.012e+000
20 -> ~37 fr=1188 (0.9504), cf=0.999, gamma=1.002, delta=0.001, M=-4.989e+000
1 -> ~35 fr=553 (0.4424), cf=1.000, gamma=1.006, delta=0.003, M=-4.691e+000
23 -> ~32 fr=691 (0.5528), cf=0.915, gamma=1.019, delta=0.010, M=-4.587e+000
6 12 29 -> ~32 fr=250 (0.2000), cf=0.936, gamma=1.042, delta=0.008, M=-4.488e+000
12 19 20 29 -> 31 fr=223 (0.1784), cf=0.888, gamma=1.057, delta=0.010, M=-4.462e+000
27 -> ~33 fr=1186 (0.9488), cf=0.974, gamma=1.003, delta=0.002, M=-4.446e+000
2 20 -> 31 fr=215 (0.1720), cf=0.888, gamma=1.057, delta=0.009, M=-4.318e+000
2 -> 31 fr=227 (0.1816), cf=0.887, gamma=1.055, delta=0.009, M=-4.305e+000
12 15 -> ~35 fr=502 (0.4016), cf=1.000, gamma=1.006, delta=0.003, M=-4.123e+000
12 20 29 -> 31 fr=402 (0.3216), cf=0.870, gamma=1.035, delta=0.011, M=-4.047e+000
