45 -> ~103 fr=10883 (0.6046), cf=0.997, gamma=1.037, delta=0.022, M=-5.264e+002
45 -> ~102 fr=10864 (0.6036), cf=0.995, gamma=1.035, delta=0.020, M=-4.559e+002
40 80 -> ~105 fr=9386 (0.5214), cf=0.996, gamma=1.037, delta=0.018, M=-3.836e+002
75 80 -> ~101 fr=9588 (0.5327), cf=0.994, gamma=1.036, delta=0.019, M=-3.656e+002
75 80 -> ~105 fr=9584 (0.5324), cf=0.993, gamma=1.034, delta=0.018, M=-3.372e+002
75 80 -> ~100 fr=9581 (0.5323), cf=0.993, gamma=1.034, delta=0.018, M=-3.368e+002
75 80 -> ~103 fr=9581 (0.5323), cf=0.993, gamma=1.033, delta=0.017, M=-3.204e+002
75 -> ~103 fr=11547 (0.6415), cf=0.988, gamma=1.028, delta=0.018, M=-3.193e+002
34 80 -> ~105 fr=7551 (0.4195), cf=0.997, gamma=1.038, delta=0.016, M=-3.170e+002
40 80 -> ~100 fr=9348 (0.5193), cf=0.992, gamma=1.033, delta=0.017, M=-2.923e+002
75 -> ~102 fr=11527 (0.6404), cf=0.987, gamma=1.026, delta=0.016, M=-2.711e+002
75 -> ~101 fr=11502 (0.6390), cf=0.985, gamma=1.026, delta=0.016, M=-2.634e+002
40 -> ~100 fr=10981 (0.6101), cf=0.985, gamma=1.026, delta=0.016, M=-2.412e+002
34 -> ~105 fr=8673 (0.4818), cf=0.990, gamma=1.031, delta=0.014, M=-2.279e+002
34 80 -> ~100 fr=7514 (0.4174), cf=0.993, gamma=1.034, delta=0.014, M=-2.235e+002
65 80 -> ~105 fr=7696 (0.4276), cf=0.992, gamma=1.033, delta=0.014, M=-2.207e+002
30 50 -> ~101 fr=5353 (0.2974), cf=0.998, gamma=1.040, delta=0.011, M=-2.136e+002
40 -> ~105 fr=10969 (0.6094), cf=0.984, gamma=1.025, delta=0.015, M=-2.133e+002
65 80 -> ~106 fr=7703 (0.4279), cf=0.993, gamma=1.031, delta=0.013, M=-2.118e+002
65 80 -> ~100 fr=7685 (0.4269), cf=0.991, gamma=1.032, delta=0.013, M=-2.028e+002
65 -> ~106 fr=9574 (0.5319), cf=0.988, gamma=1.026, delta=0.013, M=-2.009e+002
30 50 80 -> ~100 fr=4878 (0.2710), cf=0.998, gamma=1.040, delta=0.010, M=-1.987e+002
30 50 80 -> ~103 fr=4880 (0.2711), cf=0.999, gamma=1.039, delta=0.010, M=-1.985e+002
34 -> ~100 fr=8652 (0.4807), cf=0.988, gamma=1.029, delta=0.014, M=-1.941e+002
30 50 -> ~103 fr=5351 (0.2973), cf=0.997, gamma=1.037, delta=0.011, M=-1.941e+002
40 45 -> ~104 fr=6346 (0.3526), cf=0.994, gamma=1.034, delta=0.012, M=-1.842e+002
40 -> ~104 fr=10956 (0.6087), cf=0.983, gamma=1.023, delta=0.013, M=-1.840e+002
80 -> ~105 fr=14471 (0.8039), cf=0.975, gamma=1.015, delta=0.012, M=-1.802e+002
65 -> ~100 fr=9541 (0.5301), cf=0.985, gamma=1.026, delta=0.013, M=-1.801e+002
80 -> ~100 fr=14461 (0.8034), cf=0.974, gamma=1.015, delta=0.012, M=-1.756e+002
30 75 -> ~100 fr=7921 (0.4401), cf=0.988, gamma=1.029, delta=0.013, M=-1.744e+002
64 -> ~103 fr=3758 (0.2088), cf=1.000, gamma=1.040, delta=0.008, M=-1.666e+002
50 80 -> ~101 fr=7002 (0.3890), cf=0.989, gamma=1.031, delta=0.012, M=-1.620e+002
75 -> ~100 fr=11441 (0.6356), cf=0.979, gamma=1.020, delta=0.013, M=-1.557e+002
64 -> ~101 fr=3753 (0.2085), cf=0.999, gamma=1.041, delta=0.008, M=-1.541e+002
45 60 75 -> ~105 fr=4783 (0.2657), cf=0.996, gamma=1.036, delta=0.009, M=-1.532e+002
30 50 -> ~105 fr=5327 (0.2959), cf=0.993, gamma=1.033, delta=0.010, M=-1.400e+002
60 75 -> ~105 fr=7016 (0.3898), cf=0.988, gamma=1.028, delta=0.011, M=-1.364e+002
39 -> ~101 fr=3074 (0.1708), cf=0.999, gamma=1.042, delta=0.007, M=-1.313e+002
35 80 -> ~104 fr=3160 (0.1756), cf=0.999, gamma=1.039, delta=0.007, M=-1.243e+002
34 -> ~102 fr=8615 (0.4786), cf=0.984, gamma=1.023, delta=0.011, M=-1.214e+002
30 45 75 -> ~105 fr=5275 (0.2931), cf=0.991, gamma=1.032, delta=0.009, M=-1.209e+002
35 -> ~104 fr=4552 (0.2529), cf=0.993, gamma=1.033, delta=0.008, M=-1.190e+002
60 65 -> ~105 fr=6431 (0.3573), cf=0.987, gamma=1.028, delta=0.010, M=-1.162e+002
34 50 80 -> ~103 fr=3099 (0.1722), cf=0.998, gamma=1.038, delta=0.006, M=-1.111e+002
64 75 -> ~88 fr=2834 (0.1574), cf=1.000, gamma=1.037, delta=0.006, M=-1.093e+002
38 -> ~101 fr=2426 (0.1348), cf=1.000, gamma=1.043, delta=0.005, M=-1.087e+002
40 50 80 -> ~103 fr=3341 (0.1856), cf=0.996, gamma=1.036, delta=0.007, M=-1.052e+002
63 -> ~101 fr=2311 (0.1284), cf=1.000, gamma=1.043, delta=0.005, M=-1.031e+002
30 50 60 -> ~100 fr=3007 (0.1671), cf=0.997, gamma=1.038, delta=0.006, M=-1.024e+002
30 50 -> ~100 fr=5304 (0.2947), cf=0.988, gamma=1.030, delta=0.008, M=-1.023e+002
64 -> ~88 fr=3741 (0.2078), cf=0.995, gamma=1.033, delta=0.007, M=-1.015e+002
62 -> ~101 fr=2244 (0.1247), cf=1.000, gamma=1.043, delta=0.005, M=-9.993e+001
30 50 -> ~102 fr=5308 (0.2949), cf=0.989, gamma=1.028, delta=0.008, M=-9.962e+001
50 80 -> ~103 fr=6970 (0.3872), cf=0.985, gamma=1.024, delta=0.009, M=-9.909e+001
45 75 -> ~105 fr=7869 (0.4372), cf=0.982, gamma=1.022, delta=0.010, M=-9.907e+001
34 50 -> ~103 fr=3744 (0.2080), cf=0.994, gamma=1.034, delta=0.007, M=-9.790e+001
63 -> ~104 fr=2311 (0.1284), cf=1.000, gamma=1.040, delta=0.005, M=-9.782e+001
63 -> ~103 fr=2311 (0.1284), cf=1.000, gamma=1.040, delta=0.005, M=-9.767e+001
62 -> ~104 fr=2244 (0.1247), cf=1.000, gamma=1.040, delta=0.005, M=-9.478e+001
62 -> ~103 fr=2244 (0.1247), cf=1.000, gamma=1.040, delta=0.005, M=-9.464e+001
72 -> ~104 fr=2240 (0.1244), cf=1.000, gamma=1.040, delta=0.005, M=-9.460e+001
75 -> ~105 fr=11395 (0.6331), cf=0.975, gamma=1.015, delta=0.010, M=-9.424e+001
