45 -> ~103 fr=10873 (0.6041), cf=0.997, gamma=1.036, delta=0.021, M=-5.078e+002
45 -> ~102 fr=10861 (0.6034), cf=0.996, gamma=1.034, delta=0.020, M=-4.548e+002
40 80 -> ~105 fr=9389 (0.5216), cf=0.996, gamma=1.036, delta=0.018, M=-3.788e+002
75 80 -> ~101 fr=9592 (0.5329), cf=0.994, gamma=1.036, delta=0.019, M=-3.626e+002
75 80 -> ~105 fr=9592 (0.5329), cf=0.994, gamma=1.034, delta=0.018, M=-3.410e+002
75 80 -> ~100 fr=9590 (0.5328), cf=0.993, gamma=1.034, delta=0.018, M=-3.395e+002
34 80 -> ~105 fr=7591 (0.4217), cf=0.997, gamma=1.038, delta=0.016, M=-3.170e+002
75 -> ~103 fr=11532 (0.6407), cf=0.989, gamma=1.028, delta=0.017, M=-3.151e+002
40 80 -> ~100 fr=9354 (0.5197), cf=0.992, gamma=1.033, delta=0.017, M=-2.922e+002
75 -> ~102 fr=11524 (0.6402), cf=0.988, gamma=1.026, delta=0.016, M=-2.855e+002
75 -> ~101 fr=11486 (0.6381), cf=0.985, gamma=1.027, delta=0.017, M=-2.688e+002
40 -> ~100 fr=10976 (0.6098), cf=0.985, gamma=1.026, delta=0.015, M=-2.362e+002
34 -> ~105 fr=8701 (0.4834), cf=0.990, gamma=1.031, delta=0.014, M=-2.263e+002
65 80 -> ~105 fr=7721 (0.4289), cf=0.992, gamma=1.033, delta=0.014, M=-2.247e+002
34 80 -> ~100 fr=7555 (0.4197), cf=0.993, gamma=1.034, delta=0.014, M=-2.240e+002
30 50 -> ~101 fr=5362 (0.2979), cf=0.998, gamma=1.040, delta=0.012, M=-2.162e+002
65 80 -> ~106 fr=7728 (0.4293), cf=0.993, gamma=1.031, delta=0.013, M=-2.128e+002
40 -> ~105 fr=10962 (0.6090), cf=0.984, gamma=1.024, delta=0.014, M=-2.088e+002
65 -> ~106 fr=9588 (0.5327), cf=0.989, gamma=1.026, delta=0.014, M=-2.073e+002
30 50 80 -> ~100 fr=4916 (0.2731), cf=0.999, gamma=1.040, delta=0.010, M=-2.029e+002
65 80 -> ~100 fr=7709 (0.4283), cf=0.991, gamma=1.032, delta=0.013, M=-2.022e+002
30 50 -> ~103 fr=5363 (0.2979), cf=0.998, gamma=1.037, delta=0.011, M=-2.010e+002
34 -> ~100 fr=8681 (0.4823), cf=0.988, gamma=1.029, delta=0.013, M=-1.919e+002
80 -> ~105 fr=14503 (0.8057), cf=0.975, gamma=1.015, delta=0.012, M=-1.915e+002
