45 -> ~103 fr=10878 (0.6043), cf=0.997, gamma=1.036, delta=0.021, M=-5.128e+002
45 -> ~102 fr=10859 (0.6033), cf=0.995, gamma=1.036, delta=0.021, M=-4.664e+002
40 80 -> ~105 fr=9354 (0.5197), cf=0.996, gamma=1.037, delta=0.018, M=-3.833e+002
75 80 -> ~101 fr=9607 (0.5337), cf=0.994, gamma=1.035, delta=0.018, M=-3.583e+002
75 80 -> ~105 fr=9606 (0.5337), cf=0.994, gamma=1.034, delta=0.018, M=-3.456e+002
75 80 -> ~100 fr=9605 (0.5336), cf=0.994, gamma=1.034, delta=0.018, M=-3.416e+002
75 -> ~103 fr=11561 (0.6423), cf=0.989, gamma=1.028, delta=0.017, M=-3.224e+002
34 80 -> ~105 fr=7565 (0.4203), cf=0.997, gamma=1.038, delta=0.016, M=-3.174e+002
40 80 -> ~100 fr=9320 (0.5178), cf=0.992, gamma=1.033, delta=0.016, M=-2.928e+002
75 -> ~102 fr=11537 (0.6409), cf=0.987, gamma=1.027, delta=0.017, M=-2.877e+002
75 -> ~101 fr=11512 (0.6396), cf=0.985, gamma=1.026, delta=0.016, M=-2.596e+002
34 -> ~105 fr=8682 (0.4823), cf=0.991, gamma=1.031, delta=0.015, M=-2.338e+002
40 -> ~100 fr=10947 (0.6082), cf=0.985, gamma=1.026, delta=0.015, M=-2.309e+002
65 80 -> ~105 fr=7703 (0.4279), cf=0.993, gamma=1.033, delta=0.014, M=-2.269e+002
34 80 -> ~100 fr=7532 (0.4184), cf=0.993, gamma=1.034, delta=0.014, M=-2.269e+002
40 -> ~105 fr=10941 (0.6078), cf=0.985, gamma=1.025, delta=0.015, M=-2.220e+002
30 50 -> ~101 fr=5377 (0.2987), cf=0.998, gamma=1.040, delta=0.011, M=-2.171e+002
65 80 -> ~106 fr=7709 (0.4283), cf=0.993, gamma=1.030, delta=0.013, M=-2.079e+002
65 -> ~106 fr=9569 (0.5316), cf=0.989, gamma=1.026, delta=0.014, M=-2.077e+002
65 80 -> ~100 fr=7693 (0.4274), cf=0.991, gamma=1.032, delta=0.013, M=-2.048e+002
30 50 80 -> ~100 fr=4896 (0.2720), cf=0.999, gamma=1.040, delta=0.010, M=-2.026e+002
34 -> ~100 fr=8662 (0.4812), cf=0.988, gamma=1.029, delta=0.013, M=-1.946e+002
30 50 80 -> ~103 fr=4895 (0.2719), cf=0.999, gamma=1.038, delta=0.010, M=-1.912e+002
30 50 -> ~103 fr=5373 (0.2985), cf=0.997, gamma=1.036, delta=0.011, M=-1.904e+002
40 45 -> ~104 fr=6319 (0.3511), cf=0.994, gamma=1.035, delta=0.012, M=-1.891e+002
40 -> ~104 fr=10918 (0.6066), cf=0.983, gamma=1.023, delta=0.014, M=-1.883e+002
80 -> ~100 fr=14492 (0.8051), cf=0.975, gamma=1.015, delta=0.012, M=-1.832e+002
30 50 80 -> ~105 fr=4888 (0.2716), cf=0.997, gamma=1.038, delta=0.010, M=-1.769e+002
80 -> ~105 fr=14484 (0.8047), cf=0.975, gamma=1.015, delta=0.012, M=-1.731e+002
30 65 -> ~100 fr=6894 (0.3830), cf=0.991, gamma=1.032, delta=0.012, M=-1.717e+002
65 -> ~100 fr=9525 (0.5292), cf=0.985, gamma=1.025, delta=0.013, M=-1.703e+002
30 75 -> ~100 fr=7963 (0.4424), cf=0.988, gamma=1.029, delta=0.012, M=-1.688e+002
64 -> ~103 fr=3798 (0.2110), cf=1.000, gamma=1.039, delta=0.008, M=-1.652e+002
