45 -> ~103 fr=10914 (0.6063), cf=0.997, gamma=1.036, delta=0.021, M=-5.159e+002
45 -> ~102 fr=10887 (0.6048), cf=0.995, gamma=1.035, delta=0.020, M=-4.526e+002
40 80 -> ~105 fr=9383 (0.5213), cf=0.996, gamma=1.036, delta=0.018, M=-3.812e+002
75 80 -> ~101 fr=9643 (0.5357), cf=0.994, gamma=1.036, delta=0.019, M=-3.626e+002
75 80 -> ~105 fr=9647 (0.5359), cf=0.994, gamma=1.034, delta=0.018, M=-3.519e+002
75 80 -> ~100 fr=9641 (0.5356), cf=0.994, gamma=1.035, delta=0.018, M=-3.479e+002
34 80 -> ~105 fr=7577 (0.4209), cf=0.997, gamma=1.038, delta=0.015, M=-3.149e+002
75 80 -> ~103 fr=9642 (0.5357), cf=0.994, gamma=1.032, delta=0.017, M=-3.138e+002
75 -> ~103 fr=11602 (0.6446), cf=0.989, gamma=1.027, delta=0.017, M=-3.061e+002
40 80 -> ~100 fr=9349 (0.5194), cf=0.992, gamma=1.033, delta=0.017, M=-3.028e+002
75 -> ~101 fr=11559 (0.6422), cf=0.985, gamma=1.027, delta=0.017, M=-2.759e+002
75 -> ~102 fr=11574 (0.6430), cf=0.986, gamma=1.026, delta=0.016, M=-2.732e+002
40 -> ~100 fr=10962 (0.6090), cf=0.985, gamma=1.026, delta=0.015, M=-2.375e+002
34 80 -> ~100 fr=7543 (0.4191), cf=0.993, gamma=1.034, delta=0.014, M=-2.313e+002
65 80 -> ~105 fr=7691 (0.4273), cf=0.993, gamma=1.033, delta=0.014, M=-2.275e+002
65 80 -> ~106 fr=7697 (0.4276), cf=0.994, gamma=1.032, delta=0.013, M=-2.233e+002
65 -> ~106 fr=9557 (0.5309), cf=0.989, gamma=1.027, delta=0.014, M=-2.197e+002
34 -> ~105 fr=8691 (0.4828), cf=0.990, gamma=1.030, delta=0.014, M=-2.174e+002
30 50 -> ~101 fr=5382 (0.2990), cf=0.998, gamma=1.040, delta=0.011, M=-2.142e+002
65 80 -> ~100 fr=7676 (0.4264), cf=0.991, gamma=1.032, delta=0.013, M=-2.038e+002
40 -> ~105 fr=10948 (0.6082), cf=0.984, gamma=1.024, delta=0.014, M=-2.022e+002
34 -> ~100 fr=8676 (0.4820), cf=0.988, gamma=1.029, delta=0.014, M=-1.984e+002
30 50 80 -> ~100 fr=4908 (0.2727), cf=0.998, gamma=1.040, delta=0.010, M=-1.966e+002
40 -> ~104 fr=10945 (0.6081), cf=0.984, gamma=1.023, delta=0.014, M=-1.960e+002
30 50 80 -> ~103 fr=4911 (0.2728), cf=0.999, gamma=1.037, delta=0.010, M=-1.907e+002
30 50 -> ~103 fr=5381 (0.2989), cf=0.997, gamma=1.036, delta=0.010, M=-1.885e+002
80 -> ~105 fr=14510 (0.8061), cf=0.975, gamma=1.015, delta=0.012, M=-1.834e+002
30 75 -> ~100 fr=8002 (0.4446), cf=0.988, gamma=1.029, delta=0.013, M=-1.749e+002
65 -> ~100 fr=9512 (0.5284), cf=0.985, gamma=1.025, delta=0.013, M=-1.734e+002
80 -> ~100 fr=14492 (0.8051), cf=0.974, gamma=1.015, delta=0.012, M=-1.730e+002
50 80 -> ~101 fr=7054 (0.3919), cf=0.989, gamma=1.031, delta=0.012, M=-1.617e+002
64 -> ~103 fr=3801 (0.2112), cf=1.000, gamma=1.038, delta=0.008, M=-1.616e+002
45 60 75 -> ~105 fr=4826 (0.2681), cf=0.996, gamma=1.037, delta=0.009, M=-1.609e+002
75 -> ~100 fr=11492 (0.6384), cf=0.979, gamma=1.020, delta=0.013, M=-1.580e+002
64 -> ~101 fr=3796 (0.2109), cf=0.999, gamma=1.041, delta=0.008, M=-1.556e+002
60 75 -> ~105 fr=7077 (0.3932), cf=0.988, gamma=1.028, delta=0.011, M=-1.412e+002
30 50 -> ~105 fr=5356 (0.2976), cf=0.993, gamma=1.033, delta=0.010, M=-1.392e+002
39 -> ~101 fr=3117 (0.1732), cf=1.000, gamma=1.042, delta=0.007, M=-1.372e+002
30 45 75 -> ~105 fr=5350 (0.2972), cf=0.992, gamma=1.032, delta=0.009, M=-1.312e+002
35 80 -> ~104 fr=3152 (0.1751), cf=0.999, gamma=1.039, delta=0.007, M=-1.245e+002
35 -> ~104 fr=4527 (0.2515), cf=0.994, gamma=1.034, delta=0.008, M=-1.207e+002
34 -> ~102 fr=8632 (0.4796), cf=0.983, gamma=1.023, delta=0.011, M=-1.190e+002
60 65 -> ~105 fr=6438 (0.3577), cf=0.988, gamma=1.028, delta=0.010, M=-1.170e+002
64 -> ~88 fr=3787 (0.2104), cf=0.996, gamma=1.034, delta=0.007, M=-1.118e+002
34 50 80 -> ~103 fr=3145 (0.1747), cf=0.998, gamma=1.037, delta=0.006, M=-1.076e+002
38 -> ~101 fr=2397 (0.1332), cf=1.000, gamma=1.042, delta=0.005, M=-1.068e+002
45 75 -> ~105 fr=7916 (0.4398), cf=0.983, gamma=1.023, delta=0.010, M=-1.066e+002
30 50 -> ~102 fr=5339 (0.2966), cf=0.990, gamma=1.029, delta=0.008, M=-1.060e+002
30 50 -> ~100 fr=5333 (0.2963), cf=0.989, gamma=1.030, delta=0.009, M=-1.032e+002
