45 -> ~103 fr=10896 (0.6053), cf=0.997, gamma=1.036, delta=0.021, M=-5.076e+002
45 -> ~102 fr=10881 (0.6045), cf=0.996, gamma=1.034, delta=0.020, M=-4.496e+002
40 80 -> ~105 fr=9434 (0.5241), cf=0.996, gamma=1.037, delta=0.019, M=-3.917e+002
75 80 -> ~101 fr=9678 (0.5377), cf=0.994, gamma=1.035, delta=0.018, M=-3.661e+002
75 80 -> ~105 fr=9674 (0.5374), cf=0.994, gamma=1.035, delta=0.018, M=-3.504e+002
75 80 -> ~100 fr=9667 (0.5371), cf=0.993, gamma=1.034, delta=0.018, M=-3.398e+002
34 80 -> ~105 fr=7600 (0.4222), cf=0.998, gamma=1.039, delta=0.016, M=-3.214e+002
75 80 -> ~103 fr=9668 (0.5371), cf=0.993, gamma=1.032, delta=0.017, M=-3.143e+002
75 -> ~103 fr=11624 (0.6458), cf=0.988, gamma=1.027, delta=0.017, M=-3.090e+002
40 80 -> ~100 fr=9392 (0.5218), cf=0.991, gamma=1.033, delta=0.017, M=-2.901e+002
75 -> ~101 fr=11595 (0.6442), cf=0.986, gamma=1.027, delta=0.017, M=-2.823e+002
75 -> ~102 fr=11610 (0.6450), cf=0.987, gamma=1.025, delta=0.016, M=-2.720e+002
40 -> ~100 fr=11004 (0.6113), cf=0.985, gamma=1.026, delta=0.015, M=-2.342e+002
34 -> ~105 fr=8723 (0.4846), cf=0.990, gamma=1.031, delta=0.015, M=-2.302e+002
65 80 -> ~105 fr=7740 (0.4300), cf=0.993, gamma=1.033, delta=0.014, M=-2.285e+002
34 80 -> ~100 fr=7562 (0.4201), cf=0.993, gamma=1.034, delta=0.014, M=-2.252e+002
40 -> ~105 fr=10998 (0.6110), cf=0.984, gamma=1.025, delta=0.015, M=-2.166e+002
30 50 -> ~101 fr=5342 (0.2968), cf=0.998, gamma=1.039, delta=0.011, M=-2.105e+002
65 80 -> ~106 fr=7742 (0.4301), cf=0.993, gamma=1.031, delta=0.013, M=-2.080e+002
65 -> ~106 fr=9601 (0.5334), cf=0.988, gamma=1.026, delta=0.014, M=-2.013e+002
30 50 80 -> ~100 fr=4879 (0.2711), cf=0.998, gamma=1.040, delta=0.010, M=-1.994e+002
65 80 -> ~100 fr=7723 (0.4291), cf=0.990, gamma=1.032, delta=0.013, M=-1.983e+002
34 -> ~100 fr=8701 (0.4834), cf=0.988, gamma=1.029, delta=0.014, M=-1.946e+002
80 -> ~105 fr=14508 (0.8060), cf=0.975, gamma=1.016, delta=0.012, M=-1.946e+002
30 50 80 -> ~103 fr=4880 (0.2711), cf=0.999, gamma=1.038, delta=0.010, M=-1.904e+002
30 50 -> ~103 fr=5339 (0.2966), cf=0.997, gamma=1.036, delta=0.010, M=-1.886e+002
40 45 -> ~104 fr=6357 (0.3532), cf=0.993, gamma=1.034, delta=0.012, M=-1.856e+002
40 -> ~104 fr=10977 (0.6098), cf=0.982, gamma=1.023, delta=0.014, M=-1.825e+002
30 75 -> ~100 fr=8011 (0.4451), cf=0.988, gamma=1.029, delta=0.013, M=-1.752e+002
65 -> ~100 fr=9563 (0.5313), cf=0.984, gamma=1.025, delta=0.013, M=-1.735e+002
64 -> ~103 fr=3801 (0.2112), cf=1.000, gamma=1.039, delta=0.008, M=-1.653e+002
80 -> ~100 fr=14481 (0.8045), cf=0.974, gamma=1.014, delta=0.011, M=-1.640e+002
75 -> ~100 fr=11520 (0.6400), cf=0.980, gamma=1.020, delta=0.013, M=-1.617e+002
45 60 75 -> ~105 fr=4832 (0.2684), cf=0.996, gamma=1.037, delta=0.010, M=-1.613e+002
50 80 -> ~101 fr=6991 (0.3884), cf=0.989, gamma=1.030, delta=0.011, M=-1.566e+002
64 -> ~101 fr=3797 (0.2109), cf=0.999, gamma=1.040, delta=0.008, M=-1.562e+002
30 50 -> ~105 fr=5317 (0.2954), cf=0.993, gamma=1.034, delta=0.010, M=-1.442e+002
60 75 -> ~105 fr=7107 (0.3948), cf=0.988, gamma=1.028, delta=0.011, M=-1.400e+002
39 -> ~101 fr=3096 (0.1720), cf=0.999, gamma=1.041, delta=0.007, M=-1.292e+002
30 45 75 -> ~105 fr=5335 (0.2964), cf=0.991, gamma=1.032, delta=0.009, M=-1.277e+002
35 80 -> ~104 fr=3143 (0.1746), cf=0.999, gamma=1.040, delta=0.007, M=-1.260e+002
35 -> ~104 fr=4514 (0.2508), cf=0.994, gamma=1.035, delta=0.008, M=-1.248e+002
60 65 -> ~105 fr=6481 (0.3601), cf=0.987, gamma=1.028, delta=0.010, M=-1.176e+002
34 -> ~102 fr=8664 (0.4813), cf=0.984, gamma=1.022, delta=0.010, M=-1.142e+002
64 75 -> ~88 fr=2872 (0.1596), cf=1.000, gamma=1.038, delta=0.006, M=-1.137e+002
34 50 80 -> ~103 fr=3117 (0.1732), cf=0.998, gamma=1.037, delta=0.006, M=-1.092e+002
