45 -> ~103 fr=10923 (0.6068), cf=0.997, gamma=1.035, delta=0.021, M=-4.996e+002
45 -> ~102 fr=10905 (0.6058), cf=0.996, gamma=1.035, delta=0.020, M=-4.628e+002
40 80 -> ~105 fr=9416 (0.5231), cf=0.996, gamma=1.037, delta=0.019, M=-3.903e+002
75 80 -> ~101 fr=9653 (0.5363), cf=0.994, gamma=1.035, delta=0.018, M=-3.597e+002
75 80 -> ~105 fr=9654 (0.5363), cf=0.994, gamma=1.035, delta=0.018, M=-3.514e+002
75 80 -> ~100 fr=9644 (0.5358), cf=0.993, gamma=1.034, delta=0.018, M=-3.333e+002
34 80 -> ~105 fr=7614 (0.4230), cf=0.998, gamma=1.039, delta=0.016, M=-3.256e+002
75 80 -> ~103 fr=9652 (0.5362), cf=0.994, gamma=1.031, delta=0.016, M=-3.094e+002
75 -> ~103 fr=11601 (0.6445), cf=0.989, gamma=1.027, delta=0.017, M=-3.039e+002
40 80 -> ~100 fr=9372 (0.5207), cf=0.991, gamma=1.033, delta=0.016, M=-2.844e+002
75 -> ~102 fr=11581 (0.6434), cf=0.987, gamma=1.026, delta=0.016, M=-2.839e+002
75 -> ~101 fr=11551 (0.6417), cf=0.985, gamma=1.026, delta=0.016, M=-2.623e+002
34 -> ~105 fr=8726 (0.4848), cf=0.991, gamma=1.032, delta=0.015, M=-2.422e+002
40 -> ~100 fr=10979 (0.6099), cf=0.985, gamma=1.026, delta=0.015, M=-2.292e+002
65 80 -> ~105 fr=7705 (0.4281), cf=0.993, gamma=1.033, delta=0.014, M=-2.264e+002
65 80 -> ~106 fr=7717 (0.4287), cf=0.994, gamma=1.031, delta=0.013, M=-2.241e+002
40 -> ~105 fr=10978 (0.6099), cf=0.984, gamma=1.025, delta=0.015, M=-2.201e+002
30 50 -> ~101 fr=5365 (0.2981), cf=0.998, gamma=1.040, delta=0.011, M=-2.178e+002
