45 -> ~103 fr=10865 (0.6036), cf=0.997, gamma=1.036, delta=0.021, M=-5.020e+002
45 -> ~102 fr=10845 (0.6025), cf=0.995, gamma=1.036, delta=0.021, M=-4.645e+002
40 80 -> ~105 fr=9393 (0.5218), cf=0.996, gamma=1.036, delta=0.018, M=-3.791e+002
75 80 -> ~101 fr=9592 (0.5329), cf=0.993, gamma=1.036, delta=0.019, M=-3.601e+002
75 80 -> ~105 fr=9597 (0.5332), cf=0.994, gamma=1.034, delta=0.018, M=-3.428e+002
75 80 -> ~100 fr=9586 (0.5326), cf=0.993, gamma=1.034, delta=0.018, M=-3.278e+002
34 80 -> ~105 fr=7551 (0.4195), cf=0.998, gamma=1.038, delta=0.015, M=-3.143e+002
75 80 -> ~103 fr=9589 (0.5327), cf=0.993, gamma=1.032, delta=0.017, M=-3.090e+002
75 -> ~103 fr=11560 (0.6422), cf=0.988, gamma=1.027, delta=0.017, M=-2.993e+002
40 80 -> ~100 fr=9353 (0.5196), cf=0.992, gamma=1.033, delta=0.016, M=-2.884e+002
75 -> ~102 fr=11540 (0.6411), cf=0.986, gamma=1.027, delta=0.017, M=-2.843e+002
75 -> ~101 fr=11516 (0.6398), cf=0.984, gamma=1.027, delta=0.017, M=-2.659e+002
40 -> ~100 fr=10984 (0.6102), cf=0.985, gamma=1.026, delta=0.015, M=-2.375e+002
34 -> ~105 fr=8697 (0.4832), cf=0.991, gamma=1.031, delta=0.014, M=-2.289e+002
65 80 -> ~105 fr=7726 (0.4292), cf=0.993, gamma=1.033, delta=0.014, M=-2.275e+002
30 50 -> ~101 fr=5365 (0.2981), cf=0.998, gamma=1.041, delta=0.012, M=-2.196e+002
34 80 -> ~100 fr=7511 (0.4173), cf=0.992, gamma=1.033, delta=0.014, M=-2.177e+002
65 80 -> ~106 fr=7729 (0.4294), cf=0.993, gamma=1.031, delta=0.013, M=-2.113e+002
65 -> ~106 fr=9603 (0.5335), cf=0.989, gamma=1.026, delta=0.014, M=-2.099e+002
40 -> ~105 fr=10975 (0.6097), cf=0.984, gamma=1.024, delta=0.014, M=-2.089e+002
30 50 80 -> ~100 fr=4889 (0.2716), cf=0.999, gamma=1.040, delta=0.010, M=-2.018e+002
65 80 -> ~100 fr=7705 (0.4281), cf=0.990, gamma=1.031, delta=0.013, M=-1.930e+002
40 -> ~104 fr=10962 (0.6090), cf=0.983, gamma=1.023, delta=0.014, M=-1.929e+002
30 50 80 -> ~103 fr=4888 (0.2716), cf=0.998, gamma=1.038, delta=0.010, M=-1.864e+002
30 50 -> ~103 fr=5361 (0.2978), cf=0.997, gamma=1.036, delta=0.010, M=-1.858e+002
34 -> ~100 fr=8667 (0.4815), cf=0.987, gamma=1.028, delta=0.013, M=-1.834e+002
80 -> ~105 fr=14497 (0.8054), cf=0.975, gamma=1.015, delta=0.012, M=-1.779e+002
