15 17 27 29 -> ~55 fr=72 (0.5180), cf=0.973, gamma=1.241, delta=0.101, M=-1.994e+001
15 17 27 29 -> 56 fr=72 (0.5180), cf=0.973, gamma=1.241, delta=0.101, M=-1.994e+001
25 27 47 -> ~55 fr=71 (0.5108), cf=0.973, gamma=1.240, delta=0.099, M=-1.941e+001
25 27 47 -> 56 fr=71 (0.5108), cf=0.973, gamma=1.240, delta=0.099, M=-1.941e+001
6 12 54 -> 55 fr=23 (0.1655), cf=0.535, gamma=2.478, delta=0.099, M=-1.914e+001
27 29 30 -> ~55 fr=89 (0.6403), cf=0.927, gamma=1.182, delta=0.099, M=-1.914e+001
6 12 54 -> ~56 fr=23 (0.1655), cf=0.535, gamma=2.478, delta=0.099, M=-1.914e+001
27 29 30 -> 56 fr=89 (0.6403), cf=0.927, gamma=1.182, delta=0.099, M=-1.914e+001
25 27 34 -> ~55 fr=57 (0.4101), cf=1.000, gamma=1.275, delta=0.089, M=-1.854e+001
25 27 34 -> 56 fr=57 (0.4101), cf=1.000, gamma=1.275, delta=0.089, M=-1.854e+001
14 54 -> 55 fr=19 (0.1367), cf=0.633, gamma=2.934, delta=0.090, M=-1.854e+001
14 54 -> ~56 fr=19 (0.1367), cf=0.633, gamma=2.934, delta=0.090, M=-1.854e+001
25 27 29 -> ~55 fr=78 (0.5612), cf=0.951, gamma=1.213, delta=0.099, M=-1.852e+001
25 27 29 -> 56 fr=78 (0.5612), cf=0.951, gamma=1.213, delta=0.099, M=-1.852e+001
27 30 -> ~55 fr=93 (0.6691), cf=0.912, gamma=1.163, delta=0.094, M=-1.819e+001
27 30 -> 56 fr=93 (0.6691), cf=0.912, gamma=1.163, delta=0.094, M=-1.819e+001
15 25 27 -> ~55 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
15 25 29 -> ~55 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
15 25 27 -> 56 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
15 25 29 -> 56 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
25 29 30 -> ~55 fr=77 (0.5540), cf=0.951, gamma=1.212, delta=0.097, M=-1.798e+001
25 29 30 -> 56 fr=77 (0.5540), cf=0.951, gamma=1.212, delta=0.097, M=-1.798e+001
15 27 29 -> ~55 fr=72 (0.5180), cf=0.960, gamma=1.224, delta=0.095, M=-1.754e+001
25 30 47 -> ~55 fr=72 (0.5180), cf=0.960, gamma=1.224, delta=0.095, M=-1.754e+001
15 27 29 -> 56 fr=72 (0.5180), cf=0.960, gamma=1.224, delta=0.095, M=-1.754e+001
25 30 47 -> 56 fr=72 (0.5180), cf=0.960, gamma=1.224, delta=0.095, M=-1.754e+001
12 54 -> 55 fr=23 (0.1655), cf=0.500, gamma=2.317, delta=0.094, M=-1.721e+001
12 54 -> ~56 fr=23 (0.1655), cf=0.500, gamma=2.317, delta=0.094, M=-1.721e+001
15 17 27 -> ~55 fr=75 (0.5396), cf=0.949, gamma=1.211, delta=0.094, M=-1.692e+001
15 17 27 -> 56 fr=75 (0.5396), cf=0.949, gamma=1.211, delta=0.094, M=-1.692e+001
15 25 30 -> ~55 fr=60 (0.4317), cf=0.984, gamma=1.254, delta=0.088, M=-1.676e+001
15 25 30 -> 56 fr=60 (0.4317), cf=0.984, gamma=1.254, delta=0.088, M=-1.676e+001
29 30 47 -> ~55 fr=88 (0.6331), cf=0.917, gamma=1.169, delta=0.092, M=-1.662e+001
29 30 47 -> 56 fr=88 (0.6331), cf=0.917, gamma=1.169, delta=0.092, M=-1.662e+001
27 29 47 -> ~55 fr=85 (0.6115), cf=0.924, gamma=1.178, delta=0.092, M=-1.661e+001
27 29 47 -> 56 fr=85 (0.6115), cf=0.924, gamma=1.178, delta=0.092, M=-1.661e+001
23 25 27 -> ~55 fr=70 (0.5036), cf=0.959, gamma=1.223, delta=0.092, M=-1.656e+001
23 25 27 -> 56 fr=70 (0.5036), cf=0.959, gamma=1.223, delta=0.092, M=-1.656e+001
25 27 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.198, delta=0.093, M=-1.648e+001
25 27 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.198, delta=0.093, M=-1.648e+001
27 29 39 -> ~55 fr=84 (0.6043), cf=0.923, gamma=1.177, delta=0.091, M=-1.603e+001
27 29 39 -> 56 fr=84 (0.6043), cf=0.923, gamma=1.177, delta=0.091, M=-1.603e+001
47 53 -> ~55 fr=64 (0.4604), cf=0.970, gamma=1.237, delta=0.088, M=-1.602e+001
47 53 -> 56 fr=64 (0.4604), cf=0.970, gamma=1.237, delta=0.088, M=-1.602e+001
25 47 -> ~55 fr=73 (0.5252), cf=0.948, gamma=1.209, delta=0.091, M=-1.592e+001
25 47 -> 56 fr=73 (0.5252), cf=0.948, gamma=1.209, delta=0.091, M=-1.592e+001
25 29 -> ~55 fr=80 (0.5755), cf=0.930, gamma=1.186, delta=0.090, M=-1.565e+001
25 29 -> 56 fr=80 (0.5755), cf=0.930, gamma=1.186, delta=0.090, M=-1.565e+001
15 25 -> ~55 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
15 25 -> 56 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
15 23 29 -> ~55 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
15 23 29 -> 56 fr=63 (0.4532), cf=0.969, gamma=1.236, delta=0.087, M=-1.558e+001
15 17 29 -> ~55 fr=72 (0.5180), cf=0.947, gamma=1.208, delta=0.089, M=-1.544e+001
15 17 29 -> 56 fr=72 (0.5180), cf=0.947, gamma=1.208, delta=0.089, M=-1.544e+001
29 30 -> ~55 fr=94 (0.6763), cf=0.895, gamma=1.142, delta=0.084, M=-1.542e+001
29 30 -> 56 fr=94 (0.6763), cf=0.895, gamma=1.142, delta=0.084, M=-1.542e+001
15 27 -> ~55 fr=75 (0.5396), cf=0.938, gamma=1.196, delta=0.088, M=-1.497e+001
15 27 -> 56 fr=75 (0.5396), cf=0.938, gamma=1.196, delta=0.088, M=-1.497e+001
30 47 -> ~55 fr=93 (0.6691), cf=0.894, gamma=1.140, delta=0.082, M=-1.474e+001
30 47 -> 56 fr=93 (0.6691), cf=0.894, gamma=1.140, delta=0.082, M=-1.474e+001
30 53 -> ~55 fr=66 (0.4748), cf=0.957, gamma=1.220, delta=0.086, M=-1.471e+001
30 53 -> 56 fr=66 (0.4748), cf=0.957, gamma=1.220, delta=0.086, M=-1.471e+001
23 27 47 -> ~55 fr=78 (0.5612), cf=0.929, gamma=1.184, delta=0.087, M=-1.463e+001
23 27 47 -> 56 fr=78 (0.5612), cf=0.929, gamma=1.184, delta=0.087, M=-1.463e+001
27 47 -> ~55 fr=90 (0.6475), cf=0.900, gamma=1.148, delta=0.083, M=-1.446e+001
27 47 -> 56 fr=90 (0.6475), cf=0.900, gamma=1.148, delta=0.083, M=-1.446e+001
15 29 47 -> ~55 fr=65 (0.4676), cf=0.956, gamma=1.219, delta=0.084, M=-1.428e+001
15 29 47 -> 56 fr=65 (0.4676), cf=0.956, gamma=1.219, delta=0.084, M=-1.428e+001
