25 27 47 -> ~55 fr=69 (0.4964), cf=0.972, gamma=1.262, delta=0.103, M=-2.029e+001
25 27 47 -> 56 fr=69 (0.4964), cf=0.972, gamma=1.262, delta=0.103, M=-2.029e+001
25 27 29 -> ~55 fr=77 (0.5540), cf=0.951, gamma=1.235, delta=0.105, M=-2.019e+001
25 27 29 -> 56 fr=77 (0.5540), cf=0.951, gamma=1.235, delta=0.105, M=-2.019e+001
23 25 27 -> ~55 fr=72 (0.5180), cf=0.960, gamma=1.247, delta=0.103, M=-1.953e+001
23 25 27 -> 56 fr=72 (0.5180), cf=0.960, gamma=1.247, delta=0.103, M=-1.953e+001
25 27 34 -> ~55 fr=55 (0.3957), cf=1.000, gamma=1.299, delta=0.091, M=-1.907e+001
25 27 34 -> 56 fr=55 (0.3957), cf=1.000, gamma=1.299, delta=0.091, M=-1.907e+001
25 29 30 -> ~55 fr=75 (0.5396), cf=0.949, gamma=1.233, delta=0.102, M=-1.901e+001
25 29 30 -> 56 fr=75 (0.5396), cf=0.949, gamma=1.233, delta=0.102, M=-1.901e+001
15 25 27 -> ~55 fr=61 (0.4388), cf=0.984, gamma=1.278, delta=0.095, M=-1.880e+001
15 25 29 -> ~55 fr=61 (0.4388), cf=0.984, gamma=1.278, delta=0.095, M=-1.880e+001
15 25 27 -> 56 fr=61 (0.4388), cf=0.984, gamma=1.278, delta=0.095, M=-1.880e+001
15 25 29 -> 56 fr=61 (0.4388), cf=0.984, gamma=1.278, delta=0.095, M=-1.880e+001
23 29 30 47 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.221, delta=0.101, M=-1.868e+001
23 27 29 30 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.221, delta=0.101, M=-1.868e+001
23 29 30 47 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.221, delta=0.101, M=-1.868e+001
23 27 29 30 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.221, delta=0.101, M=-1.868e+001
27 29 30 -> ~55 fr=87 (0.6259), cf=0.916, gamma=1.190, delta=0.100, M=-1.868e+001
27 29 30 -> 56 fr=87 (0.6259), cf=0.916, gamma=1.190, delta=0.100, M=-1.868e+001
23 25 29 -> ~55 fr=74 (0.5324), cf=0.949, gamma=1.232, delta=0.100, M=-1.844e+001
23 25 29 -> 56 fr=74 (0.5324), cf=0.949, gamma=1.232, delta=0.100, M=-1.844e+001
25 30 47 -> ~55 fr=70 (0.5036), cf=0.959, gamma=1.246, delta=0.099, M=-1.844e+001
25 30 47 -> 56 fr=70 (0.5036), cf=0.959, gamma=1.246, delta=0.099, M=-1.844e+001
25 27 -> ~55 fr=77 (0.5540), cf=0.939, gamma=1.220, delta=0.100, M=-1.810e+001
25 27 -> 56 fr=77 (0.5540), cf=0.939, gamma=1.220, delta=0.100, M=-1.810e+001
27 30 -> ~55 fr=91 (0.6547), cf=0.901, gamma=1.170, delta=0.095, M=-1.798e+001
27 30 -> 56 fr=91 (0.6547), cf=0.901, gamma=1.170, delta=0.095, M=-1.798e+001
23 27 29 47 -> ~55 fr=76 (0.5468), cf=0.938, gamma=1.219, delta=0.098, M=-1.753e+001
23 27 29 47 -> 56 fr=76 (0.5468), cf=0.938, gamma=1.219, delta=0.098, M=-1.753e+001
23 25 47 -> ~55 fr=68 (0.4892), cf=0.958, gamma=1.244, delta=0.096, M=-1.739e+001
23 25 47 -> 56 fr=68 (0.4892), cf=0.958, gamma=1.244, delta=0.096, M=-1.739e+001
15 17 27 29 -> ~55 fr=68 (0.4892), cf=0.958, gamma=1.244, delta=0.096, M=-1.739e+001
15 17 27 29 -> 56 fr=68 (0.4892), cf=0.958, gamma=1.244, delta=0.096, M=-1.739e+001
25 29 -> ~55 fr=79 (0.5683), cf=0.929, gamma=1.207, delta=0.098, M=-1.733e+001
25 29 -> 56 fr=79 (0.5683), cf=0.929, gamma=1.207, delta=0.098, M=-1.733e+001
23 29 30 -> ~55 fr=82 (0.5899), cf=0.921, gamma=1.197, delta=0.097, M=-1.726e+001
23 29 30 -> 56 fr=82 (0.5899), cf=0.921, gamma=1.197, delta=0.097, M=-1.726e+001
6 11 12 24 -> 55 fr=20 (0.1439), cf=0.606, gamma=2.633, delta=0.089, M=-1.690e+001
6 11 12 24 -> ~56 fr=20 (0.1439), cf=0.606, gamma=2.633, delta=0.089, M=-1.690e+001
15 23 25 -> ~55 fr=57 (0.4101), cf=0.983, gamma=1.277, delta=0.089, M=-1.689e+001
15 25 30 -> ~55 fr=57 (0.4101), cf=0.983, gamma=1.277, delta=0.089, M=-1.689e+001
15 23 25 -> 56 fr=57 (0.4101), cf=0.983, gamma=1.277, delta=0.089, M=-1.689e+001
15 25 30 -> 56 fr=57 (0.4101), cf=0.983, gamma=1.277, delta=0.089, M=-1.689e+001
25 47 -> ~55 fr=71 (0.5108), cf=0.947, gamma=1.230, delta=0.095, M=-1.683e+001
25 47 -> 56 fr=71 (0.5108), cf=0.947, gamma=1.230, delta=0.095, M=-1.683e+001
23 27 47 -> ~55 fr=78 (0.5612), cf=0.929, gamma=1.206, delta=0.096, M=-1.676e+001
23 27 47 -> 56 fr=78 (0.5612), cf=0.929, gamma=1.206, delta=0.096, M=-1.676e+001
27 29 39 -> ~55 fr=81 (0.5827), cf=0.920, gamma=1.196, delta=0.095, M=-1.667e+001
27 29 39 -> 56 fr=81 (0.5827), cf=0.920, gamma=1.196, delta=0.095, M=-1.667e+001
23 25 -> ~55 fr=74 (0.5324), cf=0.937, gamma=1.217, delta=0.095, M=-1.644e+001
23 25 -> 56 fr=74 (0.5324), cf=0.937, gamma=1.217, delta=0.095, M=-1.644e+001
1 27 29 47 -> ~55 fr=74 (0.5324), cf=0.937, gamma=1.217, delta=0.095, M=-1.644e+001
1 27 29 47 -> 56 fr=74 (0.5324), cf=0.937, gamma=1.217, delta=0.095, M=-1.644e+001
6 12 24 -> 55 fr=21 (0.1511), cf=0.568, gamma=2.465, delta=0.090, M=-1.629e+001
6 12 24 -> ~56 fr=21 (0.1511), cf=0.568, gamma=2.465, delta=0.090, M=-1.629e+001
23 27 -> ~55 fr=86 (0.6187), cf=0.905, gamma=1.176, delta=0.093, M=-1.626e+001
23 27 -> 56 fr=86 (0.6187), cf=0.905, gamma=1.176, delta=0.093, M=-1.626e+001
6 12 54 -> 55 fr=23 (0.1655), cf=0.523, gamma=2.271, delta=0.093, M=-1.626e+001
29 30 47 -> ~55 fr=86 (0.6187), cf=0.905, gamma=1.176, delta=0.093, M=-1.626e+001
6 12 54 -> ~56 fr=23 (0.1655), cf=0.523, gamma=2.271, delta=0.093, M=-1.626e+001
29 30 47 -> 56 fr=86 (0.6187), cf=0.905, gamma=1.176, delta=0.093, M=-1.626e+001
15 25 -> ~55 fr=61 (0.4388), cf=0.968, gamma=1.258, delta=0.090, M=-1.624e+001
15 25 -> 56 fr=61 (0.4388), cf=0.968, gamma=1.258, delta=0.090, M=-1.624e+001
15 23 29 -> ~55 fr=61 (0.4388), cf=0.968, gamma=1.258, delta=0.090, M=-1.624e+001
15 23 29 -> 56 fr=61 (0.4388), cf=0.968, gamma=1.258, delta=0.090, M=-1.624e+001
27 29 47 -> ~55 fr=83 (0.5971), cf=0.912, gamma=1.185, delta=0.093, M=-1.611e+001
27 29 47 -> 56 fr=83 (0.5971), cf=0.912, gamma=1.185, delta=0.093, M=-1.611e+001
23 29 47 -> ~55 fr=80 (0.5755), cf=0.920, gamma=1.195, delta=0.094, M=-1.609e+001
23 29 47 -> 56 fr=80 (0.5755), cf=0.920, gamma=1.195, delta=0.094, M=-1.609e+001
6 14 54 -> 55 fr=19 (0.1367), cf=0.613, gamma=2.662, delta=0.085, M=-1.606e+001
6 14 54 -> ~56 fr=19 (0.1367), cf=0.613, gamma=2.662, delta=0.085, M=-1.606e+001
6 11 24 -> 55 fr=21 (0.1511), cf=0.553, gamma=2.400, delta=0.088, M=-1.559e+001
6 11 24 -> ~56 fr=21 (0.1511), cf=0.553, gamma=2.400, delta=0.088, M=-1.559e+001
23 30 47 -> ~55 fr=79 (0.5683), cf=0.919, gamma=1.193, delta=0.092, M=-1.553e+001
23 30 47 -> 56 fr=79 (0.5683), cf=0.919, gamma=1.193, delta=0.092, M=-1.553e+001
29 30 -> ~55 fr=92 (0.6619), cf=0.885, gamma=1.149, delta=0.086, M=-1.539e+001
29 30 -> 56 fr=92 (0.6619), cf=0.885, gamma=1.149, delta=0.086, M=-1.539e+001
15 27 29 -> ~55 fr=68 (0.4892), cf=0.944, gamma=1.227, delta=0.090, M=-1.533e+001
15 27 29 -> 56 fr=68 (0.4892), cf=0.944, gamma=1.227, delta=0.090, M=-1.533e+001
14 54 -> 55 fr=19 (0.1367), cf=0.594, gamma=2.579, delta=0.084, M=-1.528e+001
14 54 -> ~56 fr=19 (0.1367), cf=0.594, gamma=2.579, delta=0.084, M=-1.528e+001
6 24 -> 55 fr=22 (0.1583), cf=0.524, gamma=2.275, delta=0.089, M=-1.524e+001
6 24 -> ~56 fr=22 (0.1583), cf=0.524, gamma=2.275, delta=0.089, M=-1.524e+001
25 30 -> ~55 fr=75 (0.5396), cf=0.926, gamma=1.203, delta=0.091, M=-1.514e+001
25 30 -> 56 fr=75 (0.5396), cf=0.926, gamma=1.203, delta=0.091, M=-1.514e+001
25 34 53 -> ~55 fr=46 (0.3309), cf=1.000, gamma=1.299, delta=0.076, M=-1.505e+001
25 34 53 -> 56 fr=46 (0.3309), cf=1.000, gamma=1.299, delta=0.076, M=-1.505e+001
1 27 29 -> ~55 fr=81 (0.5827), cf=0.910, gamma=1.182, delta=0.090, M=-1.496e+001
1 27 29 -> 56 fr=81 (0.5827), cf=0.910, gamma=1.182, delta=0.090, M=-1.496e+001
15 17 27 -> ~55 fr=71 (0.5108), cf=0.934, gamma=1.214, delta=0.090, M=-1.492e+001
