25 27 47 -> ~55 fr=72 (0.5180), cf=0.973, gamma=1.218, delta=0.093, M=-1.797e+001
25 27 47 -> 56 fr=72 (0.5180), cf=0.973, gamma=1.218, delta=0.093, M=-1.797e+001
1 27 30 -> ~55 fr=84 (0.6043), cf=0.944, gamma=1.182, delta=0.093, M=-1.743e+001
1 27 30 -> 56 fr=84 (0.6043), cf=0.944, gamma=1.182, delta=0.093, M=-1.743e+001
23 27 29 30 47 -> ~55 fr=75 (0.5396), cf=0.962, gamma=1.204, delta=0.091, M=-1.705e+001
23 27 29 30 47 -> 56 fr=75 (0.5396), cf=0.962, gamma=1.204, delta=0.091, M=-1.705e+001
27 30 -> ~55 fr=93 (0.6691), cf=0.921, gamma=1.153, delta=0.089, M=-1.701e+001
27 30 -> 56 fr=93 (0.6691), cf=0.921, gamma=1.153, delta=0.089, M=-1.701e+001
15 25 27 -> ~55 fr=64 (0.4604), cf=0.985, gamma=1.233, delta=0.087, M=-1.694e+001
15 25 29 -> ~55 fr=64 (0.4604), cf=0.985, gamma=1.233, delta=0.087, M=-1.694e+001
15 25 27 -> 56 fr=64 (0.4604), cf=0.985, gamma=1.233, delta=0.087, M=-1.694e+001
15 25 29 -> 56 fr=64 (0.4604), cf=0.985, gamma=1.233, delta=0.087, M=-1.694e+001
25 27 -> ~55 fr=79 (0.5683), cf=0.952, gamma=1.192, delta=0.092, M=-1.686e+001
25 27 -> 56 fr=79 (0.5683), cf=0.952, gamma=1.192, delta=0.092, M=-1.686e+001
23 29 30 47 -> ~55 fr=79 (0.5683), cf=0.952, gamma=1.192, delta=0.092, M=-1.686e+001
1 27 29 47 -> ~55 fr=79 (0.5683), cf=0.952, gamma=1.192, delta=0.092, M=-1.686e+001
23 29 30 47 -> 56 fr=79 (0.5683), cf=0.952, gamma=1.192, delta=0.092, M=-1.686e+001
1 27 29 47 -> 56 fr=79 (0.5683), cf=0.952, gamma=1.192, delta=0.092, M=-1.686e+001
6 11 12 24 -> 55 fr=19 (0.1367), cf=0.543, gamma=2.695, delta=0.086, M=-1.651e+001
6 11 12 24 -> ~56 fr=19 (0.1367), cf=0.543, gamma=2.695, delta=0.086, M=-1.651e+001
6 11 24 -> 55 fr=20 (0.1439), cf=0.513, gamma=2.546, delta=0.087, M=-1.637e+001
6 11 24 -> ~56 fr=20 (0.1439), cf=0.513, gamma=2.546, delta=0.087, M=-1.637e+001
23 27 29 47 -> ~55 fr=78 (0.5612), cf=0.951, gamma=1.191, delta=0.090, M=-1.636e+001
23 27 29 47 -> 56 fr=78 (0.5612), cf=0.951, gamma=1.191, delta=0.090, M=-1.636e+001
30 47 -> ~55 fr=94 (0.6763), cf=0.913, gamma=1.143, delta=0.085, M=-1.585e+001
30 47 -> 56 fr=94 (0.6763), cf=0.913, gamma=1.143, delta=0.085, M=-1.585e+001
25 29 30 -> ~55 fr=76 (0.5468), cf=0.950, gamma=1.190, delta=0.087, M=-1.540e+001
25 29 30 -> 56 fr=76 (0.5468), cf=0.950, gamma=1.190, delta=0.087, M=-1.540e+001
23 27 47 -> ~55 fr=80 (0.5755), cf=0.941, gamma=1.179, delta=0.087, M=-1.535e+001
23 27 47 -> 56 fr=80 (0.5755), cf=0.941, gamma=1.179, delta=0.087, M=-1.535e+001
27 29 47 -> ~55 fr=87 (0.6259), cf=0.926, gamma=1.159, delta=0.086, M=-1.526e+001
27 29 47 -> 56 fr=87 (0.6259), cf=0.926, gamma=1.159, delta=0.086, M=-1.526e+001
6 12 24 -> 55 fr=19 (0.1367), cf=0.514, gamma=2.549, delta=0.083, M=-1.521e+001
6 12 24 -> ~56 fr=19 (0.1367), cf=0.514, gamma=2.549, delta=0.083, M=-1.521e+001
15 17 27 29 -> ~55 fr=71 (0.5108), cf=0.959, gamma=1.201, delta=0.086, M=-1.519e+001
15 17 27 29 -> 56 fr=71 (0.5108), cf=0.959, gamma=1.201, delta=0.086, M=-1.519e+001
6 24 -> 55 fr=20 (0.1439), cf=0.488, gamma=2.422, delta=0.084, M=-1.517e+001
6 24 -> ~56 fr=20 (0.1439), cf=0.488, gamma=2.422, delta=0.084, M=-1.517e+001
23 29 30 -> ~55 fr=83 (0.5971), cf=0.933, gamma=1.168, delta=0.086, M=-1.497e+001
23 29 30 -> 56 fr=83 (0.5971), cf=0.933, gamma=1.168, delta=0.086, M=-1.497e+001
1 23 27 29 -> ~55 fr=75 (0.5396), cf=0.949, gamma=1.189, delta=0.086, M=-1.493e+001
1 23 27 29 -> 56 fr=75 (0.5396), cf=0.949, gamma=1.189, delta=0.086, M=-1.493e+001
15 23 25 -> ~55 fr=59 (0.4245), cf=0.983, gamma=1.231, delta=0.080, M=-1.486e+001
15 25 30 -> ~55 fr=59 (0.4245), cf=0.983, gamma=1.231, delta=0.080, M=-1.486e+001
15 25 47 -> ~55 fr=59 (0.4245), cf=0.983, gamma=1.231, delta=0.080, M=-1.486e+001
15 23 25 -> 56 fr=59 (0.4245), cf=0.983, gamma=1.231, delta=0.080, M=-1.486e+001
15 25 30 -> 56 fr=59 (0.4245), cf=0.983, gamma=1.231, delta=0.080, M=-1.486e+001
15 25 47 -> 56 fr=59 (0.4245), cf=0.983, gamma=1.231, delta=0.080, M=-1.486e+001
25 47 -> ~55 fr=74 (0.5324), cf=0.949, gamma=1.188, delta=0.084, M=-1.448e+001
25 47 -> 56 fr=74 (0.5324), cf=0.949, gamma=1.188, delta=0.084, M=-1.448e+001
23 25 29 -> ~55 fr=74 (0.5324), cf=0.949, gamma=1.188, delta=0.084, M=-1.448e+001
23 25 29 -> 56 fr=74 (0.5324), cf=0.949, gamma=1.188, delta=0.084, M=-1.448e+001
1 23 29 47 -> ~55 fr=74 (0.5324), cf=0.949, gamma=1.188, delta=0.084, M=-1.448e+001
1 23 29 47 -> 56 fr=74 (0.5324), cf=0.949, gamma=1.188, delta=0.084, M=-1.448e+001
23 29 47 -> ~55 fr=82 (0.5899), cf=0.932, gamma=1.167, delta=0.084, M=-1.447e+001
27 29 39 -> ~55 fr=82 (0.5899), cf=0.932, gamma=1.167, delta=0.084, M=-1.447e+001
23 29 47 -> 56 fr=82 (0.5899), cf=0.932, gamma=1.167, delta=0.084, M=-1.447e+001
27 29 39 -> 56 fr=82 (0.5899), cf=0.932, gamma=1.167, delta=0.084, M=-1.447e+001
15 25 -> ~55 fr=64 (0.4604), cf=0.970, gamma=1.214, delta=0.081, M=-1.443e+001
15 25 -> 56 fr=64 (0.4604), cf=0.970, gamma=1.214, delta=0.081, M=-1.443e+001
15 23 29 -> ~55 fr=64 (0.4604), cf=0.970, gamma=1.214, delta=0.081, M=-1.443e+001
15 23 29 -> 56 fr=64 (0.4604), cf=0.970, gamma=1.214, delta=0.081, M=-1.443e+001
1 23 27 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.177, delta=0.084, M=-1.439e+001
1 23 27 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.177, delta=0.084, M=-1.439e+001
19 23 27 29 -> ~55 fr=69 (0.4964), cf=0.958, gamma=1.200, delta=0.083, M=-1.433e+001
19 23 27 29 -> 56 fr=69 (0.4964), cf=0.958, gamma=1.200, delta=0.083, M=-1.433e+001
23 27 29 -> ~55 fr=85 (0.6115), cf=0.924, gamma=1.157, delta=0.083, M=-1.420e+001
1 27 29 -> ~55 fr=85 (0.6115), cf=0.924, gamma=1.157, delta=0.083, M=-1.420e+001
23 27 29 -> 56 fr=85 (0.6115), cf=0.924, gamma=1.157, delta=0.083, M=-1.420e+001
1 27 29 -> 56 fr=85 (0.6115), cf=0.924, gamma=1.157, delta=0.083, M=-1.420e+001
23 27 -> ~55 fr=88 (0.6331), cf=0.917, gamma=1.148, delta=0.082, M=-1.405e+001
23 27 -> 56 fr=88 (0.6331), cf=0.917, gamma=1.148, delta=0.082, M=-1.405e+001
25 29 -> ~55 fr=81 (0.5827), cf=0.931, gamma=1.166, delta=0.083, M=-1.399e+001
25 29 -> 56 fr=81 (0.5827), cf=0.931, gamma=1.166, delta=0.083, M=-1.399e+001
1 27 47 -> ~55 fr=84 (0.6043), cf=0.923, gamma=1.156, delta=0.082, M=-1.370e+001
1 27 47 -> 56 fr=84 (0.6043), cf=0.923, gamma=1.156, delta=0.082, M=-1.370e+001
25 30 -> ~55 fr=76 (0.5468), cf=0.938, gamma=1.175, delta=0.081, M=-1.349e+001
25 30 -> 56 fr=76 (0.5468), cf=0.938, gamma=1.175, delta=0.081, M=-1.349e+001
1 29 47 -> ~55 fr=83 (0.5971), cf=0.922, gamma=1.155, delta=0.080, M=-1.322e+001
1 29 47 -> 56 fr=83 (0.5971), cf=0.922, gamma=1.155, delta=0.080, M=-1.322e+001
15 27 29 -> ~55 fr=71 (0.5108), cf=0.947, gamma=1.185, delta=0.080, M=-1.319e+001
15 27 29 -> 56 fr=71 (0.5108), cf=0.947, gamma=1.185, delta=0.080, M=-1.319e+001
6 11 12 -> 55 fr=25 (0.1799), cf=0.357, gamma=1.773, delta=0.078, M=-1.310e+001
6 11 12 -> ~56 fr=25 (0.1799), cf=0.357, gamma=1.773, delta=0.078, M=-1.310e+001
1 23 29 -> ~55 fr=79 (0.5683), cf=0.929, gamma=1.164, delta=0.080, M=-1.306e+001
1 23 29 -> 56 fr=79 (0.5683), cf=0.929, gamma=1.164, delta=0.080, M=-1.306e+001
11 24 -> 55 fr=20 (0.1439), cf=0.444, gamma=2.206, delta=0.079, M=-1.302e+001
11 24 -> ~56 fr=20 (0.1439), cf=0.444, gamma=2.206, delta=0.079, M=-1.302e+001
27 47 -> ~55 fr=92 (0.6619), cf=0.902, gamma=1.129, delta=0.076, M=-1.296e+001
27 47 -> 56 fr=92 (0.6619), cf=0.902, gamma=1.129, delta=0.076, M=-1.296e+001
15 23 -> ~55 fr=65 (0.4676), cf=0.956, gamma=1.197, delta=0.077, M=-1.271e+001
15 23 -> 56 fr=65 (0.4676), cf=0.956, gamma=1.197, delta=0.077, M=-1.271e+001
23 25 -> ~55 fr=74 (0.5324), cf=0.937, gamma=1.173, delta=0.079, M=-1.263e+001
