25 27 29 -> ~55 fr=80 (0.5755), cf=0.952, gamma=1.226, delta=0.106, M=-2.085e+001
25 27 29 -> 56 fr=80 (0.5755), cf=0.952, gamma=1.226, delta=0.106, M=-2.085e+001
25 27 47 -> ~55 fr=71 (0.5108), cf=0.973, gamma=1.252, delta=0.103, M=-2.040e+001
25 27 47 -> 56 fr=71 (0.5108), cf=0.973, gamma=1.252, delta=0.103, M=-2.040e+001
15 25 -> ~55 fr=64 (0.4604), cf=0.985, gamma=1.267, delta=0.097, M=-1.946e+001
15 25 -> 56 fr=64 (0.4604), cf=0.985, gamma=1.267, delta=0.097, M=-1.946e+001
27 29 30 -> ~55 fr=90 (0.6475), cf=0.918, gamma=1.182, delta=0.100, M=-1.937e+001
27 29 30 -> 56 fr=90 (0.6475), cf=0.918, gamma=1.182, delta=0.100, M=-1.937e+001
25 29 30 -> ~55 fr=77 (0.5540), cf=0.951, gamma=1.223, delta=0.101, M=-1.907e+001
25 29 30 -> 56 fr=77 (0.5540), cf=0.951, gamma=1.223, delta=0.101, M=-1.907e+001
23 25 27 -> ~55 fr=73 (0.5252), cf=0.961, gamma=1.236, delta=0.100, M=-1.906e+001
23 25 27 -> 56 fr=73 (0.5252), cf=0.961, gamma=1.236, delta=0.100, M=-1.906e+001
25 27 34 -> ~55 fr=56 (0.4029), cf=1.000, gamma=1.287, delta=0.090, M=-1.882e+001
25 27 34 -> 56 fr=56 (0.4029), cf=1.000, gamma=1.287, delta=0.090, M=-1.882e+001
27 30 -> ~55 fr=94 (0.6763), cf=0.904, gamma=1.163, delta=0.095, M=-1.873e+001
27 30 -> 56 fr=94 (0.6763), cf=0.904, gamma=1.163, delta=0.095, M=-1.873e+001
25 27 -> ~55 fr=80 (0.5755), cf=0.941, gamma=1.211, delta=0.100, M=-1.872e+001
25 27 -> 56 fr=80 (0.5755), cf=0.941, gamma=1.211, delta=0.100, M=-1.872e+001
6 11 12 24 -> 55 fr=20 (0.1439), cf=0.625, gamma=2.802, delta=0.093, M=-1.859e+001
6 11 12 24 -> ~56 fr=20 (0.1439), cf=0.625, gamma=2.802, delta=0.093, M=-1.859e+001
15 17 27 29 -> ~55 fr=72 (0.5180), cf=0.960, gamma=1.236, delta=0.099, M=-1.853e+001
15 17 27 29 -> 56 fr=72 (0.5180), cf=0.960, gamma=1.236, delta=0.099, M=-1.853e+001
23 29 30 47 -> ~55 fr=79 (0.5683), cf=0.940, gamma=1.210, delta=0.099, M=-1.813e+001
23 29 30 47 -> 56 fr=79 (0.5683), cf=0.940, gamma=1.210, delta=0.099, M=-1.813e+001
25 30 47 -> ~55 fr=71 (0.5108), cf=0.959, gamma=1.235, delta=0.097, M=-1.800e+001
25 30 47 -> 56 fr=71 (0.5108), cf=0.959, gamma=1.235, delta=0.097, M=-1.800e+001
23 25 29 -> ~55 fr=75 (0.5396), cf=0.949, gamma=1.222, delta=0.098, M=-1.795e+001
23 25 29 -> 56 fr=75 (0.5396), cf=0.949, gamma=1.222, delta=0.098, M=-1.795e+001
6 12 24 -> 55 fr=21 (0.1511), cf=0.583, gamma=2.616, delta=0.093, M=-1.795e+001
6 12 24 -> ~56 fr=21 (0.1511), cf=0.583, gamma=2.616, delta=0.093, M=-1.795e+001
25 29 -> ~55 fr=82 (0.5899), cf=0.932, gamma=1.199, delta=0.098, M=-1.793e+001
25 29 -> 56 fr=82 (0.5899), cf=0.932, gamma=1.199, delta=0.098, M=-1.793e+001
15 23 29 -> ~55 fr=65 (0.4676), cf=0.970, gamma=1.249, delta=0.093, M=-1.732e+001
15 23 29 -> 56 fr=65 (0.4676), cf=0.970, gamma=1.249, delta=0.093, M=-1.732e+001
23 29 30 -> ~55 fr=84 (0.6043), cf=0.923, gamma=1.188, delta=0.096, M=-1.726e+001
23 29 30 -> 56 fr=84 (0.6043), cf=0.923, gamma=1.188, delta=0.096, M=-1.726e+001
6 11 24 -> 55 fr=21 (0.1511), cf=0.568, gamma=2.545, delta=0.092, M=-1.721e+001
6 11 24 -> ~56 fr=21 (0.1511), cf=0.568, gamma=2.545, delta=0.092, M=-1.721e+001
23 27 29 47 -> ~55 fr=77 (0.5540), cf=0.939, gamma=1.209, delta=0.096, M=-1.702e+001
1 27 29 47 -> ~55 fr=77 (0.5540), cf=0.939, gamma=1.209, delta=0.096, M=-1.702e+001
23 27 29 47 -> 56 fr=77 (0.5540), cf=0.939, gamma=1.209, delta=0.096, M=-1.702e+001
1 27 29 47 -> 56 fr=77 (0.5540), cf=0.939, gamma=1.209, delta=0.096, M=-1.702e+001
25 47 -> ~55 fr=73 (0.5252), cf=0.948, gamma=1.220, delta=0.095, M=-1.690e+001
25 47 -> 56 fr=73 (0.5252), cf=0.948, gamma=1.220, delta=0.095, M=-1.690e+001
6 24 -> 55 fr=22 (0.1583), cf=0.537, gamma=2.406, delta=0.092, M=-1.686e+001
6 24 -> ~56 fr=22 (0.1583), cf=0.537, gamma=2.406, delta=0.092, M=-1.686e+001
6 14 54 -> 55 fr=19 (0.1367), cf=0.613, gamma=2.748, delta=0.087, M=-1.685e+001
6 14 54 -> ~56 fr=19 (0.1367), cf=0.613, gamma=2.748, delta=0.087, M=-1.685e+001
15 27 29 -> ~55 fr=72 (0.5180), cf=0.947, gamma=1.219, delta=0.093, M=-1.639e+001
15 27 29 -> 56 fr=72 (0.5180), cf=0.947, gamma=1.219, delta=0.093, M=-1.639e+001
29 30 47 -> ~55 fr=88 (0.6331), cf=0.907, gamma=1.168, delta=0.091, M=-1.621e+001
29 30 47 -> 56 fr=88 (0.6331), cf=0.907, gamma=1.168, delta=0.091, M=-1.621e+001
23 27 29 -> ~55 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
27 29 47 -> ~55 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
1 27 29 -> ~55 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
23 27 29 -> 56 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
27 29 47 -> 56 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
1 27 29 -> 56 fr=85 (0.6115), cf=0.914, gamma=1.176, delta=0.092, M=-1.608e+001
14 54 -> 55 fr=19 (0.1367), cf=0.594, gamma=2.662, delta=0.085, M=-1.606e+001
29 30 -> ~55 fr=95 (0.6835), cf=0.888, gamma=1.143, delta=0.085, M=-1.606e+001
14 54 -> ~56 fr=19 (0.1367), cf=0.594, gamma=2.662, delta=0.085, M=-1.606e+001
29 30 -> 56 fr=95 (0.6835), cf=0.888, gamma=1.143, delta=0.085, M=-1.606e+001
23 25 -> ~55 fr=75 (0.5396), cf=0.938, gamma=1.207, delta=0.092, M=-1.596e+001
23 25 -> 56 fr=75 (0.5396), cf=0.938, gamma=1.207, delta=0.092, M=-1.596e+001
15 17 27 -> ~55 fr=75 (0.5396), cf=0.938, gamma=1.207, delta=0.092, M=-1.596e+001
15 17 27 -> 56 fr=75 (0.5396), cf=0.938, gamma=1.207, delta=0.092, M=-1.596e+001
23 27 47 -> ~55 fr=78 (0.5612), cf=0.929, gamma=1.195, delta=0.092, M=-1.568e+001
23 27 47 -> 56 fr=78 (0.5612), cf=0.929, gamma=1.195, delta=0.092, M=-1.568e+001
23 27 -> ~55 fr=87 (0.6259), cf=0.906, gamma=1.166, delta=0.089, M=-1.559e+001
23 27 -> 56 fr=87 (0.6259), cf=0.906, gamma=1.166, delta=0.089, M=-1.559e+001
6 12 54 -> 55 fr=22 (0.1583), cf=0.512, gamma=2.294, delta=0.089, M=-1.559e+001
6 12 54 -> ~56 fr=22 (0.1583), cf=0.512, gamma=2.294, delta=0.089, M=-1.559e+001
15 23 -> ~55 fr=66 (0.4748), cf=0.957, gamma=1.231, delta=0.089, M=-1.555e+001
15 23 -> 56 fr=66 (0.4748), cf=0.957, gamma=1.231, delta=0.089, M=-1.555e+001
23 29 47 -> ~55 fr=81 (0.5827), cf=0.920, gamma=1.185, delta=0.091, M=-1.552e+001
27 29 39 -> ~55 fr=81 (0.5827), cf=0.920, gamma=1.185, delta=0.091, M=-1.552e+001
23 29 47 -> 56 fr=81 (0.5827), cf=0.920, gamma=1.185, delta=0.091, M=-1.552e+001
27 29 39 -> 56 fr=81 (0.5827), cf=0.920, gamma=1.185, delta=0.091, M=-1.552e+001
6 11 14 -> 55 fr=21 (0.1511), cf=0.525, gamma=2.354, delta=0.087, M=-1.518e+001
6 11 14 -> ~56 fr=21 (0.1511), cf=0.525, gamma=2.354, delta=0.087, M=-1.518e+001
25 30 -> ~55 fr=77 (0.5540), cf=0.928, gamma=1.194, delta=0.090, M=-1.516e+001
25 30 -> 56 fr=77 (0.5540), cf=0.928, gamma=1.194, delta=0.090, M=-1.516e+001
23 30 47 -> ~55 fr=80 (0.5755), cf=0.920, gamma=1.183, delta=0.089, M=-1.498e+001
23 30 47 -> 56 fr=80 (0.5755), cf=0.920, gamma=1.183, delta=0.089, M=-1.498e+001
6 11 12 -> 55 fr=27 (0.1942), cf=0.409, gamma=1.834, delta=0.088, M=-1.493e+001
6 11 12 -> ~56 fr=27 (0.1942), cf=0.409, gamma=1.834, delta=0.088, M=-1.493e+001
6 14 -> 55 fr=23 (0.1655), cf=0.479, gamma=2.149, delta=0.088, M=-1.492e+001
6 14 -> ~56 fr=23 (0.1655), cf=0.479, gamma=2.149, delta=0.088, M=-1.492e+001
11 12 24 -> 55 fr=20 (0.1439), cf=0.541, gamma=2.424, delta=0.085, M=-1.485e+001
11 12 24 -> ~56 fr=20 (0.1439), cf=0.541, gamma=2.424, delta=0.085, M=-1.485e+001
30 47 -> ~55 fr=93 (0.6691), cf=0.886, gamma=1.140, delta=0.082, M=-1.461e+001
30 47 -> 56 fr=93 (0.6691), cf=0.886, gamma=1.140, delta=0.082, M=-1.461e+001
6 12 -> 55 fr=29 (0.2086), cf=0.372, gamma=1.667, delta=0.083, M=-1.459e+001
6 12 -> ~56 fr=29 (0.2086), cf=0.372, gamma=1.667, delta=0.083, M=-1.459e+001
12 24 -> 55 fr=21 (0.1511), cf=0.512, gamma=2.297, delta=0.085, M=-1.456e+001
12 24 -> ~56 fr=21 (0.1511), cf=0.512, gamma=2.297, delta=0.085, M=-1.456e+001
15 17 29 -> ~55 fr=72 (0.5180), cf=0.935, gamma=1.203, delta=0.088, M=-1.448e+001
15 17 29 -> 56 fr=72 (0.5180), cf=0.935, gamma=1.203, delta=0.088, M=-1.448e+001
1 23 29 -> ~55 fr=79 (0.5683), cf=0.919, gamma=1.182, delta=0.088, M=-1.446e+001
1 23 29 -> 56 fr=79 (0.5683), cf=0.919, gamma=1.182, delta=0.088, M=-1.446e+001
27 29 -> ~55 fr=95 (0.6835), cf=0.880, gamma=1.132, delta=0.080, M=-1.445e+001
27 29 -> 56 fr=95 (0.6835), cf=0.880, gamma=1.132, delta=0.080, M=-1.445e+001
25 -> ~55 fr=82 (0.5899), cf=0.911, gamma=1.173, delta=0.087, M=-1.438e+001
25 -> 56 fr=82 (0.5899), cf=0.911, gamma=1.173, delta=0.087, M=-1.438e+001
15 27 -> ~55 fr=75 (0.5396), cf=0.926, gamma=1.192, delta=0.087, M=-1.416e+001
15 27 -> 56 fr=75 (0.5396), cf=0.926, gamma=1.192, delta=0.087, M=-1.416e+001
11 24 -> 55 fr=21 (0.1511), cf=0.500, gamma=2.242, delta=0.084, M=-1.397e+001
11 24 -> ~56 fr=21 (0.1511), cf=0.500, gamma=2.242, delta=0.084, M=-1.397e+001
1 27 47 -> ~55 fr=81 (0.5827), cf=0.910, gamma=1.171, delta=0.085, M=-1.385e+001
1 29 47 -> ~55 fr=81 (0.5827), cf=0.910, gamma=1.171, delta=0.085, M=-1.385e+001
1 27 47 -> 56 fr=81 (0.5827), cf=0.910, gamma=1.171, delta=0.085, M=-1.385e+001
1 29 47 -> 56 fr=81 (0.5827), cf=0.910, gamma=1.171, delta=0.085, M=-1.385e+001
27 47 -> ~55 fr=89 (0.6403), cf=0.890, gamma=1.145, delta=0.081, M=-1.360e+001
