25 27 29 -> ~55 fr=79 (0.5683), cf=0.975, gamma=1.244, delta=0.111, M=-2.398e+001
25 27 29 -> 56 fr=79 (0.5683), cf=0.975, gamma=1.244, delta=0.111, M=-2.398e+001
25 27 -> ~55 fr=79 (0.5683), cf=0.963, gamma=1.229, delta=0.106, M=-2.139e+001
25 27 -> 56 fr=79 (0.5683), cf=0.963, gamma=1.229, delta=0.106, M=-2.139e+001
27 29 30 -> ~55 fr=91 (0.6547), cf=0.929, gamma=1.184, delta=0.102, M=-2.056e+001
27 29 30 -> 56 fr=91 (0.6547), cf=0.929, gamma=1.184, delta=0.102, M=-2.056e+001
25 29 -> ~55 fr=81 (0.5827), cf=0.953, gamma=1.215, delta=0.103, M=-2.026e+001
25 29 -> 56 fr=81 (0.5827), cf=0.953, gamma=1.215, delta=0.103, M=-2.026e+001
23 27 30 -> ~55 fr=83 (0.5971), cf=0.943, gamma=1.203, delta=0.101, M=-1.931e+001
27 29 39 -> ~55 fr=83 (0.5971), cf=0.943, gamma=1.203, delta=0.101, M=-1.931e+001
23 27 30 -> 56 fr=83 (0.5971), cf=0.943, gamma=1.203, delta=0.101, M=-1.931e+001
27 29 39 -> 56 fr=83 (0.5971), cf=0.943, gamma=1.203, delta=0.101, M=-1.931e+001
27 30 -> ~55 fr=94 (0.6763), cf=0.913, gamma=1.164, delta=0.095, M=-1.894e+001
27 30 -> 56 fr=94 (0.6763), cf=0.913, gamma=1.164, delta=0.095, M=-1.894e+001
23 29 30 -> ~55 fr=85 (0.6115), cf=0.934, gamma=1.191, delta=0.098, M=-1.851e+001
23 29 30 -> 56 fr=85 (0.6115), cf=0.934, gamma=1.191, delta=0.098, M=-1.851e+001
6 11 12 24 -> 55 fr=20 (0.1439), cf=0.588, gamma=2.725, delta=0.091, M=-1.788e+001
6 11 12 24 -> ~56 fr=20 (0.1439), cf=0.588, gamma=2.725, delta=0.091, M=-1.788e+001
27 29 -> ~55 fr=97 (0.6978), cf=0.898, gamma=1.145, delta=0.089, M=-1.769e+001
27 29 -> 56 fr=97 (0.6978), cf=0.898, gamma=1.145, delta=0.089, M=-1.769e+001
