25 27 47 -> ~55 fr=72 (0.5180), cf=0.986, gamma=1.258, delta=0.106, M=-2.275e+001
25 27 47 -> 56 fr=72 (0.5180), cf=0.986, gamma=1.258, delta=0.106, M=-2.275e+001
25 27 29 30 -> ~55 fr=75 (0.5396), cf=0.974, gamma=1.242, delta=0.105, M=-2.159e+001
25 27 29 30 -> 56 fr=75 (0.5396), cf=0.974, gamma=1.242, delta=0.105, M=-2.159e+001
25 27 29 -> ~55 fr=79 (0.5683), cf=0.963, gamma=1.229, delta=0.106, M=-2.139e+001
25 27 29 -> 56 fr=79 (0.5683), cf=0.963, gamma=1.229, delta=0.106, M=-2.139e+001
25 30 47 -> ~55 fr=73 (0.5252), cf=0.973, gamma=1.241, delta=0.102, M=-2.048e+001
25 30 47 -> 56 fr=73 (0.5252), cf=0.973, gamma=1.241, delta=0.102, M=-2.048e+001
25 29 30 -> ~55 fr=77 (0.5540), cf=0.962, gamma=1.227, delta=0.103, M=-2.022e+001
25 29 30 -> 56 fr=77 (0.5540), cf=0.962, gamma=1.227, delta=0.103, M=-2.022e+001
23 25 27 -> ~55 fr=72 (0.5180), cf=0.973, gamma=1.241, delta=0.101, M=-1.994e+001
23 25 27 -> 56 fr=72 (0.5180), cf=0.973, gamma=1.241, delta=0.101, M=-1.994e+001
23 29 30 47 -> ~55 fr=80 (0.5755), cf=0.952, gamma=1.215, delta=0.102, M=-1.966e+001
23 29 30 47 -> 56 fr=80 (0.5755), cf=0.952, gamma=1.215, delta=0.102, M=-1.966e+001
25 27 30 -> ~55 fr=75 (0.5396), cf=0.962, gamma=1.226, delta=0.100, M=-1.911e+001
25 27 30 -> 56 fr=75 (0.5396), cf=0.962, gamma=1.226, delta=0.100, M=-1.911e+001
25 27 -> ~55 fr=79 (0.5683), cf=0.952, gamma=1.214, delta=0.100, M=-1.909e+001
25 27 -> 56 fr=79 (0.5683), cf=0.952, gamma=1.214, delta=0.100, M=-1.909e+001
23 27 29 30 -> ~55 fr=79 (0.5683), cf=0.952, gamma=1.214, delta=0.100, M=-1.909e+001
1 27 29 30 -> ~55 fr=79 (0.5683), cf=0.952, gamma=1.214, delta=0.100, M=-1.909e+001
23 27 29 30 -> 56 fr=79 (0.5683), cf=0.952, gamma=1.214, delta=0.100, M=-1.909e+001
1 27 29 30 -> 56 fr=79 (0.5683), cf=0.952, gamma=1.214, delta=0.100, M=-1.909e+001
25 47 -> ~55 fr=74 (0.5324), cf=0.961, gamma=1.226, delta=0.098, M=-1.858e+001
25 47 -> 56 fr=74 (0.5324), cf=0.961, gamma=1.226, delta=0.098, M=-1.858e+001
23 25 29 -> ~55 fr=74 (0.5324), cf=0.961, gamma=1.226, delta=0.098, M=-1.858e+001
23 25 29 -> 56 fr=74 (0.5324), cf=0.961, gamma=1.226, delta=0.098, M=-1.858e+001
1 23 27 29 -> ~55 fr=74 (0.5324), cf=0.961, gamma=1.226, delta=0.098, M=-1.858e+001
1 23 27 29 -> 56 fr=74 (0.5324), cf=0.961, gamma=1.226, delta=0.098, M=-1.858e+001
23 27 29 47 -> ~55 fr=78 (0.5612), cf=0.951, gamma=1.213, delta=0.099, M=-1.852e+001
23 27 29 47 -> 56 fr=78 (0.5612), cf=0.951, gamma=1.213, delta=0.099, M=-1.852e+001
27 29 30 -> ~55 fr=88 (0.6331), cf=0.926, gamma=1.181, delta=0.097, M=-1.847e+001
27 29 30 -> 56 fr=88 (0.6331), cf=0.926, gamma=1.181, delta=0.097, M=-1.847e+001
15 25 29 -> ~55 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
15 25 29 -> 56 fr=63 (0.4532), cf=0.984, gamma=1.255, delta=0.092, M=-1.813e+001
25 29 -> ~55 fr=81 (0.5827), cf=0.942, gamma=1.201, delta=0.098, M=-1.813e+001
25 29 -> 56 fr=81 (0.5827), cf=0.942, gamma=1.201, delta=0.098, M=-1.813e+001
23 27 30 -> ~55 fr=81 (0.5827), cf=0.942, gamma=1.201, delta=0.098, M=-1.813e+001
23 27 30 -> 56 fr=81 (0.5827), cf=0.942, gamma=1.201, delta=0.098, M=-1.813e+001
1 27 29 47 -> ~55 fr=77 (0.5540), cf=0.951, gamma=1.212, delta=0.097, M=-1.798e+001
1 27 29 47 -> 56 fr=77 (0.5540), cf=0.951, gamma=1.212, delta=0.097, M=-1.798e+001
23 27 29 -> ~55 fr=84 (0.6043), cf=0.933, gamma=1.190, delta=0.097, M=-1.790e+001
23 27 29 -> 56 fr=84 (0.6043), cf=0.933, gamma=1.190, delta=0.097, M=-1.790e+001
6 12 54 -> 55 fr=23 (0.1655), cf=0.511, gamma=2.368, delta=0.096, M=-1.783e+001
27 30 47 -> ~55 fr=87 (0.6259), cf=0.926, gamma=1.180, delta=0.096, M=-1.783e+001
6 12 54 -> ~56 fr=23 (0.1655), cf=0.511, gamma=2.368, delta=0.096, M=-1.783e+001
27 30 47 -> 56 fr=87 (0.6259), cf=0.926, gamma=1.180, delta=0.096, M=-1.783e+001
1 25 53 -> ~55 fr=55 (0.3957), cf=1.000, gamma=1.275, delta=0.085, M=-1.765e+001
1 25 53 -> 56 fr=55 (0.3957), cf=1.000, gamma=1.275, delta=0.085, M=-1.765e+001
27 30 -> ~55 fr=92 (0.6619), cf=0.911, gamma=1.162, delta=0.092, M=-1.747e+001
27 30 -> 56 fr=92 (0.6619), cf=0.911, gamma=1.162, delta=0.092, M=-1.747e+001
1 23 27 -> ~55 fr=76 (0.5468), cf=0.950, gamma=1.211, delta=0.095, M=-1.744e+001
1 23 27 -> 56 fr=76 (0.5468), cf=0.950, gamma=1.211, delta=0.095, M=-1.744e+001
23 29 30 -> ~55 fr=83 (0.5971), cf=0.933, gamma=1.189, delta=0.095, M=-1.731e+001
1 27 29 -> ~55 fr=83 (0.5971), cf=0.933, gamma=1.189, delta=0.095, M=-1.731e+001
23 29 30 -> 56 fr=83 (0.5971), cf=0.933, gamma=1.189, delta=0.095, M=-1.731e+001
1 27 29 -> 56 fr=83 (0.5971), cf=0.933, gamma=1.189, delta=0.095, M=-1.731e+001
29 30 47 -> ~55 fr=89 (0.6403), cf=0.918, gamma=1.170, delta=0.093, M=-1.726e+001
29 30 47 -> 56 fr=89 (0.6403), cf=0.918, gamma=1.170, delta=0.093, M=-1.726e+001
19 25 53 -> ~55 fr=54 (0.3885), cf=1.000, gamma=1.275, delta=0.084, M=-1.722e+001
19 25 53 -> 56 fr=54 (0.3885), cf=1.000, gamma=1.275, delta=0.084, M=-1.722e+001
25 53 -> ~55 fr=61 (0.4388), cf=0.984, gamma=1.255, delta=0.089, M=-1.721e+001
25 53 -> 56 fr=61 (0.4388), cf=0.984, gamma=1.255, delta=0.089, M=-1.721e+001
23 27 -> ~55 fr=86 (0.6187), cf=0.925, gamma=1.179, delta=0.094, M=-1.721e+001
23 27 -> 56 fr=86 (0.6187), cf=0.925, gamma=1.179, delta=0.094, M=-1.721e+001
27 29 47 -> ~55 fr=86 (0.6187), cf=0.925, gamma=1.179, delta=0.094, M=-1.721e+001
27 29 47 -> 56 fr=86 (0.6187), cf=0.925, gamma=1.179, delta=0.094, M=-1.721e+001
47 53 -> ~55 fr=66 (0.4748), cf=0.971, gamma=1.238, delta=0.091, M=-1.694e+001
47 53 -> 56 fr=66 (0.4748), cf=0.971, gamma=1.238, delta=0.091, M=-1.694e+001
6 14 54 -> 55 fr=19 (0.1367), cf=0.594, gamma=2.751, delta=0.087, M=-1.689e+001
6 14 54 -> ~56 fr=19 (0.1367), cf=0.594, gamma=2.751, delta=0.087, M=-1.689e+001
1 30 53 -> ~55 fr=60 (0.4317), cf=0.984, gamma=1.254, delta=0.088, M=-1.676e+001
1 30 53 -> 56 fr=60 (0.4317), cf=0.984, gamma=1.254, delta=0.088, M=-1.676e+001
23 29 47 -> ~55 fr=82 (0.5899), cf=0.932, gamma=1.188, delta=0.093, M=-1.674e+001
23 29 47 -> 56 fr=82 (0.5899), cf=0.932, gamma=1.188, delta=0.093, M=-1.674e+001
1 23 29 -> ~55 fr=78 (0.5612), cf=0.940, gamma=1.198, delta=0.093, M=-1.648e+001
1 23 29 -> 56 fr=78 (0.5612), cf=0.940, gamma=1.198, delta=0.093, M=-1.648e+001
23 25 -> ~55 fr=74 (0.5324), cf=0.949, gamma=1.210, delta=0.092, M=-1.642e+001
